name,native_ar,status,governorate,pop_1996,pop_2006,pop_2017,pop_2023,cagr_2006_2017,centroid_lat,centroid_lon,centroid_source
Al-Maṭariyah [ Matariyyah ],قسم المطرية,Kism (fully urban),Al-Qāhirah [ Cairo ],498670.0,498663.0,602485.0,647260.0,0.017342505984605,30.05,31.25,gov_fallback
Al-Muqaṭṭam,قسم المقطم,Kism (fully urban),Al-Qāhirah [ Cairo ],,,224138.0,240799.0,,30.033333,31.283333,nominatim
Al-Mūskī,قسم الموسكي,Kism (fully urban),Al-Qāhirah [ Cairo ],28582.0,22294.0,16662.0,17908.0,-0.0261242370812939,30.05,31.25,gov_fallback
Al-Qāhirah al-Jadīdah 1 [ New Cairo ],قسم أول القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],,27990.0,135834.0,145923.0,0.1544208040702197,30.0277688,31.4756825,nominatim
Al-Qāhirah al-Jadīdah 2 [ New Cairo ],قسم ثان القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],,40005.0,90668.0,97423.0,0.0772180320472264,30.0277688,31.4756825,nominatim
Al-Qāhirah al-Jadīdah 3 [ New Cairo ],قسم ثالث القاهره الجديده,Kism (fully urban),Al-Qāhirah [ Cairo ],,54344.0,70885.0,76142.0,0.0244509237152059,30.0277688,31.4756825,nominatim
Al-Waylī,قسم الوايلي,Kism (fully urban),Al-Qāhirah [ Cairo ],89758.0,77649.0,79292.0,85217.0,0.0019053191469771,30.05,31.25,gov_fallback
An-Nuzhah,قسم النزهة,Kism (fully urban),Al-Qāhirah [ Cairo ],154969.0,161946.0,231241.0,248464.0,0.0329115807566298,30.1034694,31.3383633,nominatim
Ash-Sharābiyah,قسم الشرابية,Kism (fully urban),Al-Qāhirah [ Cairo ],247433.0,215595.0,187201.0,201154.0,-0.0127560109693346,30.05,31.25,gov_fallback
Ash-Shurūq,قسم الشروق,Kism (fully urban),Al-Qāhirah [ Cairo ],,22570.0,87285.0,93759.0,0.130838881760211,30.1794734,31.6057531,nominatim
As-Sāḥil,قسم الساحل,Kism (fully urban),Al-Qāhirah [ Cairo ],333929.0,305322.0,316421.0,339975.0,0.0032513330597856,30.05,31.25,gov_fallback
As-Salām 1,قسم أول السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],304553.0,441000.0,480721.0,516440.0,0.0078710134532578,30.0595737,31.5362573,nominatim
As-Salām 2,قسم ثان السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],52329.0,108000.0,153772.0,165186.0,0.0326432697246414,30.0595737,31.5362573,nominatim
As-Sayyidah Zaynab,قسم السيدة زينب,Kism (fully urban),Al-Qāhirah [ Cairo ],156142.0,132249.0,136278.0,146446.0,0.0027319438617259,30.05,31.25,gov_fallback
At-Tibbīn,قسم التبين,Kism (fully urban),Al-Qāhirah [ Cairo ],59366.0,68897.0,72040.0,77413.0,0.004063587216984,30.05,31.25,gov_fallback
Aẓ-Ẓāhir,قسم الظاهر,Kism (fully urban),Al-Qāhirah [ Cairo ],67031.0,64009.0,71870.0,77236.0,0.0105861163232809,30.0707688,31.2460061,nominatim
Az-Zamālik [ Zamalek ],قسم الزمالك,Kism (fully urban),Al-Qāhirah [ Cairo ],15343.0,17365.0,14946.0,16064.0,-0.0135449736868271,30.0204678,31.2254432,nominatim
Az-Zāwiyah al-Ḥamrā',قسم الزاوية الحمراء,Kism (fully urban),Al-Qāhirah [ Cairo ],306165.0,315465.0,318170.0,341866.0,0.0007764913432919,30.05,31.25,gov_fallback
Az-Zaytūn [ Zeitoun ],قسم الزيتون,Kism (fully urban),Al-Qāhirah [ Cairo ],159172.0,156910.0,174176.0,187179.0,0.0095355298127683,30.1084626,31.3057943,nominatim
Bāb ash-Sha'riyah,قسم باب الشعرية,Kism (fully urban),Al-Qāhirah [ Cairo ],59956.0,54084.0,46673.0,50140.0,-0.0133081578376154,30.05,31.25,gov_fallback
Būlāq,قسم بولاق,Kism (fully urban),Al-Qāhirah [ Cairo ],75098.0,62470.0,48147.0,51741.0,-0.0233971775862313,30.0338799,31.1910129,nominatim
Dār as-Salām,قسم دار السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],340708.0,430763.0,525638.0,564684.0,0.018260605129079,30.05,31.25,gov_fallback
Hada'iq al-Qubbah,قسم حدائق القبة,Kism (fully urban),Al-Qāhirah [ Cairo ],304478.0,289758.0,316072.0,339612.0,0.0079334813193081,30.0821784,31.2825387,nominatim
Ḥulwān [ Helwan ],قسم حلوان,Kism (fully urban),Al-Qāhirah [ Cairo ],,396791.0,521239.0,560070.0,0.0251099825834471,29.8500001,31.333333,nominatim
Madīnat an-Naṣr 1 [ Nasr City ],قسم مدينة نصر أول,Kism (fully urban),Al-Qāhirah [ Cairo ],291571.0,501597.0,634818.0,681942.0,0.0216437488299408,30.0521177,31.3422045,nominatim
Madīnat an-Naṣr 2 [ Nasr City ],قسم ثانى مدينه نصر,Kism (fully urban),Al-Qāhirah [ Cairo ],68156.0,75917.0,72182.0,77529.0,-0.0045758560783882,30.0521177,31.3422045,nominatim
Madīnat Badr,قسم مدينة بدر,Kism (fully urban),Al-Qāhirah [ Cairo ],248.0,17158.0,31299.0,33602.0,0.0561681643847065,30.05,31.25,gov_fallback
Miṣr al-Jādidah [ Heliopolis ],قسم مصر الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],120977.0,113611.0,134116.0,144106.0,0.0151984082536176,30.1005985,31.3329136,nominatim
Miṣr al-Qadīmah [ Old Cairo ],قسم مصر القديمة,Kism (fully urban),Al-Qāhirah [ Cairo ],228683.0,217390.0,250313.0,268920.0,0.0129024510808133,30.0174001,31.2331964,nominatim
Munsha'āt Nāṣr [ Manshiyat Naser ],قسم منشأة ناصر,Kism (fully urban),Al-Qāhirah [ Cairo ],168425.0,262050.0,258372.0,277575.0,-0.0012841673272956,30.05,31.25,gov_fallback
Qaṣr an-Nīl,قسم قصر النيل,Kism (fully urban),Al-Qāhirah [ Cairo ],12935.0,10035.0,10563.0,11358.0,0.0046725503493341,30.05,31.25,gov_fallback
Rūd al-Faraj [ Rod El Farag ],قسم روض الفرج,Kism (fully urban),Al-Qāhirah [ Cairo ],178145.0,144510.0,145632.0,156505.0,0.0007033547402024,30.0805647,31.245351,nominatim
Shubrā,قسم شبرا,Kism (fully urban),Al-Qāhirah [ Cairo ],83753.0,71118.0,76695.0,82421.0,0.0068868833401829,30.0482403,31.2456081,nominatim
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],67270.0,94107.0,230438.0,246648.0,0.0848194666898825,29.9345933,31.2807256,nominatim
