district,native_ar,status,governorate,population,year
Dār as-Salām,قسم دار السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],340708.0,1996
Hada'iq al-Qubbah,قسم حدائق القبة,Kism (fully urban),Al-Qāhirah [ Cairo ],304478.0,1996
Ḥulwān [ Helwan ],قسم حلوان,Kism (fully urban),Al-Qāhirah [ Cairo ],302936.1,1996
Madīnat an-Naṣr 1 [ Nasr City ],قسم مدينة نصر أول,Kism (fully urban),Al-Qāhirah [ Cairo ],291571.0,1996
Madīnat an-Naṣr 2 [ Nasr City ],قسم ثانى مدينه نصر,Kism (fully urban),Al-Qāhirah [ Cairo ],68156.0,1996
Madīnat Badr,قسم مدينة بدر,Kism (fully urban),Al-Qāhirah [ Cairo ],248.0,1996
Miṣr al-Jādidah [ Heliopolis ],قسم مصر الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],120977.0,1996
Miṣr al-Qadīmah [ Old Cairo ],قسم مصر القديمة,Kism (fully urban),Al-Qāhirah [ Cairo ],228683.0,1996
Munsha'āt Nāṣr [ Manshiyat Naser ],قسم منشأة ناصر,Kism (fully urban),Al-Qāhirah [ Cairo ],168425.0,1996
Qaṣr an-Nīl,قسم قصر النيل,Kism (fully urban),Al-Qāhirah [ Cairo ],12935.0,1996
Rūd al-Faraj [ Rod El Farag ],قسم روض الفرج,Kism (fully urban),Al-Qāhirah [ Cairo ],178145.0,1996
Shubrā,قسم شبرا,Kism (fully urban),Al-Qāhirah [ Cairo ],83753.0,1996
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],67270.0,1996
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],83430.0,2006
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],564235.7,2006
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],258511.0,2006
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],352317.0,2006
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],383610.0,2006
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],140408.0,2006
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],251596.0,2006
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],241506.0,2006
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],313233.0,2006
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],33344.0,2006
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],509129.0,2006
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],29422.0,2006
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],302804.0,2006
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],266970.0,2006
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],391496.5,2006
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],275059.0,2006
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],701655.0,2006
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],598882.0,2006
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],391363.0,2006
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],347940.3,2006
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],115302.0,2006
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],38791.0,2006
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],90740.0,2006
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],42223.0,2006
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],60488.0,2006
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],525034.0,2006
Al-Amīriīah,قسم الاميريه,Kism (fully urban),Al-Qāhirah [ Cairo ],165407.0,2006
Al-Azbakiyah [ Azbakeya ],قسم الأزبكية,Kism (fully urban),Al-Qāhirah [ Cairo ],28033.0,2006
