H3_Hex_ID,Jobs_Accessible_60min,Jobs_Pct_Accessible_60min,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score,population_percentile,underserved_percentile,boarding_gap,masari_priority_score,centroid_x,centroid_y,centroid_lat,centroid_lon
883e628f25fffff,27555,0.5,81621,9669,0.0,0.6675409836065573,99.33333333333333,100.0,81621.0,99.69999999999999,324597.5658274561,3319140.451251699,29.990646716698805,31.1816966364654
883e628c67fffff,448647,8.0,77149,7098,0.0,0.6649180327868852,98.66666666666667,99.33333333333333,77149.0,99.03333333333333,330743.6343809701,3318042.6414923626,29.98160838453384,31.24555838131058
883e628f69fffff,464576,8.3,76908,11589,0.0,0.6642622950819672,98.0,98.66666666666667,76908.0,98.36666666666667,324320.04249715153,3323138.7714785254,30.026671896683016,31.178161826460848
883e628c2bfffff,465181,8.3,76440,14046,0.0,0.6622950819672131,97.33333333333334,98.0,76440.0,97.7,332539.0161560566,3317157.9550082544,29.9738746637948,31.264300190374843
883e628a93fffff,32500,0.6,74517,11338,0.0,0.6609836065573771,96.66666666666667,97.33333333333334,74517.0,97.03333333333335,324250.6730242473,3324138.3426531213,30.03567805242816,31.177277732418325
883e6280b9fffff,906583,16.2,71564,10531,0.0,0.6570491803278689,94.0,96.66666666666667,71564.0,95.46666666666668,333293.652788916,3331263.4427700224,30.101215126120216,31.269909201360726
883e628e15fffff,1348512,24.1,69546,1452,0.0,0.6544262295081967,92.66666666666666,96.0,69546.0,94.5,334607.3383610293,3324825.0438966835,30.043316680097096,31.284539986573837
883e628f63fffff,754655,13.5,67737,16462,0.0,0.6531147540983606,92.0,95.33333333333334,67737.0,93.83333333333334,325287.3432189099,3321696.6973442715,30.01380280187061,31.188425277216144
883e628f6bfffff,39174,0.7,67664,12206,0.0,0.6524590163934426,91.33333333333333,94.66666666666667,67664.0,93.16666666666667,325217.966808623,3322696.25268806,30.022808942835606,31.187542216556377
883e628c05fffff,227335,4.1,67202,7259,0.0,0.6518032786885246,90.66666666666666,94.0,67202.0,92.5,332469.61580389354,3318157.35796074,29.982880278790955,31.26342428037363
883e6281a1fffff,1790598,32.0,67119,18884,0.0,0.6511475409836066,90.0,93.33333333333333,67119.0,91.83333333333333,324940.50713843334,3326694.43894114,30.058832953727023,31.184008415272288
883e628c21fffff,1103310,19.7,63950,15049,0.0,0.6465573770491804,88.66666666666667,92.66666666666666,63950.0,90.86666666666666,331710.74414169596,3316600.8633923214,29.968736051737835,31.255806436558085
883e628f21fffff,43070,0.8,62824,14016,0.0,0.6445901639344263,88.0,92.0,62824.0,90.2,325426.10979157774,3319697.5761654642,29.995790354503924,31.19019093123983
883e6281a7fffff,353704,6.3,58615,15722,0.0,0.6386885245901639,86.66666666666667,91.33333333333333,58615.0,89.23333333333332,325009.86533718894,3325694.897389818,30.049827031676656,31.184892101469266
883e628f4dfffff,44577,0.8,57707,11005,0.0,0.6360655737704918,86.0,90.66666666666666,57707.0,88.56666666666666,325079.22764273646,3324695.3525963183,30.040821056680603,31.185775626470416
883e628f0dfffff,747259,13.4,56859,12631,0.0,0.6340983606557377,84.66666666666667,90.0,56859.0,87.6,326115.8596684302,3322253.7517895973,30.018945444477183,31.196921578267737
883e628701fffff,71270,1.3,53686,18023,0.0,0.6288524590163934,83.33333333333334,89.33333333333333,53686.0,86.63333333333334,338123.71084710245,3336601.7490131604,30.150020005965924,31.319201943660442
883e628181fffff,395497,7.1,53159,9991,0.0,0.6281967213114754,82.66666666666667,88.66666666666667,53159.0,85.96666666666667,326528.17796749715,3328807.786579078,30.07812185076506,31.200126372766796
883e6281a9fffff,40349,0.7,53158,9990,0.0,0.6275409836065574,82.0,88.0,53158.0,85.3,324871.15372989327,3327693.9765941845,30.06783881700437,31.18312457497136
883e6280cbfffff,188070,3.4,52629,20508,0.0,0.6255737704918033,81.33333333333333,87.33333333333333,52629.0,84.63333333333334,332118.7593195737,3335703.3265258116,30.141102900045773,31.257017406538164
883e628711fffff,172397,3.1,51645,7325,0.0,0.6249180327868853,80.66666666666666,86.66666666666667,51645.0,83.96666666666667,340746.27871400735,3336273.0655730357,30.147400918606614,31.346472547713233
883e628719fffff,36037,0.6,51387,7413,0.0,0.6229508196721312,79.33333333333333,86.0,51387.0,83.0,340676.954535127,3337272.16782475,30.15640437860273,31.34560256271197
883e628743fffff,190494,3.4,51317,17521,0.0,0.6216393442622951,78.66666666666666,85.33333333333334,51317.0,82.33333333333334,337985.0743676538,3338600.071700062,30.168027411547598,31.317456870204083
883e62870dfffff,52909,0.9,51306,18349,0.0,0.62,77.66666666666666,84.66666666666667,51306.0,81.51666666666667,337226.348791121,3337044.381406078,30.1538931211156,31.30981972141126
883e6281ddfffff,801322,14.3,51295,10232,0.0,0.6186885245901639,76.33333333333333,84.0,51295.0,80.55000000000001,327217.9601720817,3331363.580995872,30.101273046094168,31.20686429128032
883e628e4bfffff,636470,11.4,50588,6188,0.0,0.6137704918032787,74.66666666666667,83.33333333333334,50588.0,79.43333333333334,332604.1155354233,3328708.0180575233,30.078069946697422,31.263158901567035
883e628469fffff,721152,12.9,49327,8771,0.0,0.6118032786885246,74.0,82.66666666666667,49327.0,78.76666666666667,341712.84236527927,3334831.3989222245,30.134522114675953,31.35672044421339
883e628e17fffff,4096,0.1,47130,1685,0.0,0.6078688524590163,73.33333333333333,82.0,47130.0,78.10000000000001,335504.8637206445,3324382.6082512382,30.03944673953202,31.293914101371453
883e6280b5fffff,769882,13.8,46480,5201,0.0,0.6052459016393442,72.66666666666667,81.33333333333333,46480.0,77.43333333333335,332534.76526857965,3329707.359505797,30.087074829499052,31.26228200633055
883e628899fffff,201784,3.6,46396,9251,0.0,0.6039344262295082,71.33333333333334,80.66666666666666,46396.0,76.46666666666667,323768.98942559015,3318583.30284634,29.985502346697395,31.173202901454893
883e628d4bfffff,1127188,20.2,45234,4665,0.0,0.600655737704918,70.0,80.0,45234.0,75.5,327291.27414373046,3317813.1832721666,29.979057090986025,31.209824223522475
