stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
wheat.track.pointed,Al Nahda Square - New Cairo,29.9989338557423,31.468264672815,0,352257.227711269,3319654.7643029485
ripen.petted.aged,Al Narges 8 - 5th Settlement,30.0016530882175,31.4611356439934,0,351573.5657931465,3319965.3479374764
lunch.sparrows.logged,Al Narges 7 - 5th Settlement,30.0034046976384,31.4589448818373,0,351364.8484297965,3320162.316703691
covers.engrossed.gentlemen,Al Narges 4 - 5th Settlement,30.0058825440647,31.4497611302092,0,350482.68130749324,3320448.886210168
officials.grouping.tooth,Fatma Al Sharbatly Mosque,30.0053596102956,31.4454105129879,0,350062.2349553759,3320396.6178260166
fragments.disco.mull,Mountain View Square,30.0158487353392,31.4452057602651,0,350058.2663295261,3321559.3832433037
emulated.having.reckoned,Mountain View Square,30.016488651874,31.4450299077324,0,350042.26840050507,3321630.5348059516
trickster.scoring.sugar,Air Force Hospital,30.0164374559353,31.4335265464333,0,348932.69454556453,3321639.9833057015
firepower.burst.crinkled,CIB - South Teseen Street,30.0164,31.4230290162588,0,347920.1501008001,3321649.729646647
conspired.dressings.marching,Bank Al Etihad - South Teseen Street,30.01641,31.4206631676832,0,347691.97874195763,3321653.982888997
repeating.bless.gadget,Downtown Mall,30.01636,31.41264,0,346918.0646365667,3321659.1418175
skirting.owls.showrooms,Downtown Mall,30.0160906842077,31.4115008007372,0,346807.77422373986,3321630.817337102
fattening.watching.gymnasium,South Teseen Street Entrance,30.0130196627731,31.4009798896508,0,345788.2701302798,3321304.579718571
alike.leans.walking,Windrose Academy,29.9797325436739,31.351714771248,0,340983.3483846979,3317682.7040948365
models.skim.variously,Baron Mall Pedestrian Bridge,29.9819729016682,31.3384073128164,0,339702.9433422745,3317949.543365584
instance.permanent.decanter,Wataneya Gas Station - Ring Road - Kattameya,29.986729685718,31.3092624734786,0,336898.6536289144,3318517.870432619
thudding.pumpkin.issuer,Masaken Al Kendy,29.9917283501348,31.2929286630316,0,335330.98961689346,3319095.247647115
obliging.blog.blaring,Basateen Steps - Ring Road,29.9904152880093,31.266972223198,0,332824.57382805273,3318987.3073256095
