line,station_en,station_ar,location_raw,opened_raw,lat,lon,opening_year,phase,is_interchange
Line 3,Heliopolis Square,ميدان هليوبوليس ‎,30°6′29″N 31°20′17″E,2019,30.108055555555556,31.338055555555556,2019,Phase 3B,False
Line 3,Haroun,هارون ‎,30°6′4″N 31°19′58″E,2019,30.101111111111113,31.33277777777778,2019,Phase 3B,False
Line 3,Al-Ahram,الأهرام ‎,30°5′29″N 31°19′35″E,2014,30.091388888888886,31.32638888888889,2014,Phase 3A,False
Line 3,Koleyet El-Banat,كلية البنات ‎,30°5′1″N 31°19′44″E,2014,30.08361111111111,31.328888888888887,2014,Phase 3A,False
Line 3,Stadium,الإستاد ‎,30°4′23″N 31°19′3″E,2014,30.073055555555555,31.3175,2014,Phase 3A,False
Line 3,Fair Zone,أرض المعارض ‎,30°4′24″N 31°18′4″E,2014,30.073333333333334,31.301111111111112,2014,Phase 3A,False
Line 3,Abbassia,العباسية ‎,30°4′11″N 31°16′51″E,2012,30.06972222222222,31.280833333333334,2012,Phase 3A,False
Line 3,Abdou Pasha,عبده باشا ‎,30°3′53″N 31°16′29″E,2012,30.064722222222223,31.27472222222222,2012,Phase 3A,False
Line 3,El Geish,الجيش ‎,30°3′43″N 31°16′1″E,2012,30.061944444444446,31.266944444444444,2012,Phase 3A,False
Line 3,Bab El Shaaria,باب الشعرية ‎,30°3′14″N 31°15′22″E,2012,30.05388888888889,31.25611111111111,2012,Phase 3A,False
Line 3,Attaba,العتبة ‎,30°3′9″N 31°14′49″E,1 Sep 1998,30.052500000000002,31.246944444444445,1998,Phase 3A,True
Line 3,Nasser,جمال عبدالناصر ‎,30°3′13″N 31°14′20″E,1987,30.053611111111113,31.23888888888889,1987,Phase 3A,True
Line 3,Maspero,ماسبيرو ‎,30°3′20″N 31°13′56″E,5 Oct 2022,30.055555555555557,31.23222222222222,2022,Phase 3C,False
Line 3,Safaa Hegazy,صفاء حجازي ‎,30°3′45″N 31°13′21″E,5 Oct 2022,30.0625,31.222499999999997,2022,Phase 3C,False
Line 3,Kit Kat,الكيت كات ‎,30°4′0″N 31°12′47″E,5 Oct 2022,30.066666666666666,31.213055555555556,2022,Phase 3C,False
Line 3,Sudan,السودان ‎,30°4′11″N 31°12′19″E,1 Jan 2024,30.06972222222222,31.205277777777777,2024,Phase 3D,False
Line 3,Imbaba,إمبابة ‎,30°4′33″N 31°12′27″E,1 Jan 2024,30.075833333333332,31.2075,2024,Phase 3D,False
Line 3,El-Bohy,البوهي ‎,30°4′56″N 31°12′38″E,1 Jan 2024,30.08222222222222,31.210555555555555,2024,Phase 3D,False
Line 3,El-Qawmia,القومية ‎,30°5′36″N 31°12′32″E,1 Jan 2024,30.093333333333334,31.20888888888889,2024,Phase 3D,False
Line 3,Ring Road,الطريق الدائري ‎,30°5′47″N 31°11′59″E,1 Jan 2024,30.09638888888889,31.199722222222224,2024,Phase 3D,False
Line 3,Rod al-Farag Corridor,محور روض الفرج ‎,30°6′7″N 31°11′3″E,1 Jan 2024,30.101944444444445,31.184166666666666,2024,Phase 3D,False
Line 3,Tawfikia,التوفيقية ‎,30°3′55″N 31°12′9″E,15 May 2024,30.06527777777778,31.2025,2024,Phase 3D,False
Line 3,Wadi El Nile,وادي النيل ‎,30°3′30″N 31°12′4″E,15 May 2024,30.058333333333334,31.20111111111111,2024,Phase 3D,False
Line 3,Gamat El Dowal,جامعة الدول العربية ‎,30°3′3″N 31°11′59″E,15 May 2024,30.050833333333333,31.199722222222224,2024,Phase 3D,False
Line 3,Boulak El Dakrour,بولاق الدكرور ‎,30°2′10″N 31°11′47″E,15 May 2024,30.03611111111111,31.19638888888889,2024,Phase 3D,False
Line 3,Cairo University,جامعة القاهرة ‎,30°1′34″N 31°12′4″E,19 Apr 1999,30.02611111111111,31.20111111111111,1999,Phase 3A,True
