H3_Hex_ID,Population_2018,Terminals_In_Hex,Has_Terminal
883e621529fffff,3044,0,False
883e62152bfffff,5430,0,False
883e62152dfffff,6811,0,False
883e621531fffff,915,0,False
883e621535fffff,4907,0,False
883e621537fffff,1508,0,False
883e621539fffff,6066,1,True
883e62153bfffff,4042,1,True
883e621549fffff,3595,0,False
883e62154bfffff,3498,0,False
883e621551fffff,4287,0,False
883e621553fffff,4141,0,False
883e621557fffff,4287,0,False
883e621559fffff,4287,0,False
883e62155bfffff,2524,0,False
883e62155dfffff,4129,0,False
883e621563fffff,3268,0,False
883e6215c5fffff,2350,0,False
883e6215c7fffff,881,0,False
883e6215cdfffff,4285,0,False
883e6215e1fffff,881,0,False
883e6215e3fffff,839,0,False
883e6215e5fffff,881,0,False
883e6215e7fffff,964,0,False
883e6215edfffff,881,0,False
883e621625fffff,3274,0,False
883e621627fffff,3292,0,False
883e62162dfffff,3178,0,False
883e621665fffff,6854,0,False
883e621667fffff,2847,0,False
883e62166dfffff,13667,0,False
883e6216a5fffff,773,0,False
883e621701fffff,5708,0,False
883e621705fffff,5590,0,False
883e621707fffff,5590,0,False
883e62170bfffff,9281,0,False
883e621711fffff,18617,0,False
883e621713fffff,13509,0,False
883e621715fffff,9335,0,False
883e621717fffff,27980,0,False
883e621719fffff,5083,0,False
883e62171bfffff,3292,1,True
883e62171dfffff,9336,0,False
883e621729fffff,5590,0,False
883e62172bfffff,5590,1,True
883e62172dfffff,4975,0,False
883e621733fffff,8862,0,False
883e621735fffff,4343,0,False
883e62173bfffff,9335,0,False
883e62173dfffff,5589,0,False
883e621741fffff,9628,0,False
883e621749fffff,12232,1,True
883e62174dfffff,11076,0,False
883e621751fffff,13914,0,False
883e621753fffff,3179,0,False
883e621755fffff,10144,0,False
883e621757fffff,8652,0,False
883e621759fffff,23062,1,True
883e62175bfffff,3392,0,False
883e62175dfffff,23595,0,False
883e621761fffff,4768,0,False
883e621767fffff,4756,0,False
883e621769fffff,4806,0,False
883e628003fffff,9296,0,False
883e628009fffff,5009,0,False
883e62800bfffff,5912,0,False
883e628011fffff,9295,0,False
883e628013fffff,18567,0,False
883e628015fffff,8465,1,True
883e628019fffff,8780,0,False
883e62801bfffff,21124,0,False
883e62801dfffff,8886,1,True
883e628029fffff,8188,0,False
883e62802bfffff,4674,0,False
883e628031fffff,7324,0,False
883e628033fffff,8980,0,False
883e628035fffff,7337,1,True
883e628037fffff,11809,2,True
883e62803dfffff,5065,0,False
883e628041fffff,5883,0,False
883e628043fffff,5009,0,False
883e628047fffff,5009,0,False
883e628049fffff,8100,0,False
883e62804dfffff,6434,0,False
883e628053fffff,3450,0,False
883e628055fffff,5010,0,False
883e628059fffff,5919,0,False
883e62805bfffff,5820,0,False
883e628065fffff,1201,0,False
883e628067fffff,9910,0,False
883e628081fffff,46525,0,False
883e628083fffff,29221,0,False
883e628085fffff,26722,1,True
883e628087fffff,45273,0,False
883e628089fffff,49431,1,True
883e62808bfffff,40339,0,False
883e62808dfffff,43444,2,True
883e628091fffff,36520,1,True
883e628093fffff,26052,0,False
883e628095fffff,43613,1,True
883e628097fffff,70853,0,False
883e628099fffff,41434,0,False
883e62809bfffff,67107,0,False
883e62809dfffff,14629,0,False
883e6280a1fffff,40897,1,True
883e6280a3fffff,58647,0,False
883e6280a5fffff,26706,0,False
883e6280a7fffff,45906,0,False
883e6280a9fffff,28240,1,True
883e6280abfffff,50689,1,True
883e6280b1fffff,71616,1,True
883e6280b3fffff,66087,0,False
883e6280b5fffff,46480,0,False
883e6280b7fffff,55948,0,False
883e6280b9fffff,71564,0,False
883e6280bbfffff,89153,0,False
883e6280bdfffff,58484,1,True
883e6280c1fffff,55862,1,True
883e6280c3fffff,54808,0,False
883e6280c5fffff,46972,0,False
