id,Feature_ID,Vehicles_Per_Hour,geometry
vehicles_per_segment_combined_simp.60,60,2.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332832.53028775926 3327640.074173613, 333162.6511207905 3327752.028311598, 333349.5342028182 3327816.6030826923, 333467.421394369 3327852.291340154, 333616.7181209116 3327905.5766035845, 333686.96911713347 3327934.7806827812, 333716.3970202867 3327942.429276057, 333892.883406196 3327963.8236749857, 333955.5963397674 3327979.1747398735, 334022.12544774765 3327998.2378862784, 334020.69720176084 3328002.638355474)"
vehicles_per_segment_combined_simp.61,61,19.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332867.22936174436 3327651.8533038357, 333325.20322092634 3327808.1023123134, 333325.72870090144 3327790.443241068)"
vehicles_per_segment_combined_simp.62,62,32.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332771.83809103107 3327643.7665881226, 332848.6182930713 3327804.3467072104, 332935.22839714464 3328009.2331565064, 332999.95710433426 3328157.469671071, 333095.4228274765 3328387.1664460856, 333134.24083419796 3328473.714483747, 333266.96768624627 3328795.8597673853, 333368.70290208387 3329032.780309712, 333579.1742084631 3329562.391339658, 333651.60244476364 3329755.523761609)"
vehicles_per_segment_combined_simp.63,63,186.0,"LINESTRING (340922.83357486955 3328943.362660915, 341111.131056666 3328917.364918017)"
vehicles_per_segment_combined_simp.64,64,2.0,"LINESTRING (340922.83357486955 3328943.362660915, 341067.4519377571 3328923.6487688706, 341085.5742545084 3328930.149460585, 341100.8976218074 3328943.12018343, 341108.20628934575 3328955.208849704, 341112.94556983886 3328976.31388557, 341123.6083816305 3329060.521129238, 341485.4205822427 3329013.1825528564, 341483.49841712846 3329025.321163575)"
vehicles_per_segment_combined_simp.65,65,26.0,"LINESTRING (341111.131056666 3328917.364918017, 341119.0879704873 3328894.1921825474, 341123.36293216946 3328869.742300909, 341126.11447279085 3328806.514970023, 341143.6600375378 3328572.467702178)"
vehicles_per_segment_combined_simp.66,66,160.0,"LINESTRING (341111.131056666 3328917.364918017, 341552.3783741514 3328862.5644130823, 341689.30003376195 3328843.856372147, 341855.3876755768 3328815.197707435)"
vehicles_per_segment_combined_simp.67,67,188.0,"LINESTRING (331363.89201377844 3324546.152997285, 331444.09239940706 3324656.5638999282, 331439.08197120216 3324664.7887147516)"
vehicles_per_segment_combined_simp.68,68,7.0,"LINESTRING (331363.89201377844 3324546.152997285, 331415.2284142602 3324516.1011555847, 331491.78610378876 3324476.4628675045, 331496.62624961045 3324471.2893520542, 331498.16232347087 3324464.5033972897, 331492.2527592543 3324450.181792648, 331529.20278706 3324400.173673822, 331534.6182748262 3324407.4077686383, 331593.09693576 3324453.408904995, 331608.76120226015 3324462.260352359, 331627.7481148778 3324467.6244344623, 331632.2330323121 3324470.7709379825, 331697.05563596735 3324256.15382881)"
vehicles_per_segment_combined_simp.69,69,310.0,"LINESTRING (331439.08197120216 3324664.7887147516, 331480.18014365144 3324720.6442537685, 331493.50975523243 3324747.1580227967, 331518.9253793788 3324800.8697586595, 331531.22884950554 3324898.57172796)"
