Stop_Name,board_daily_int_cta_morning,board_daily_int_p_o_14_morning,board_daily_int_cta_m_morning,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_cta_evening,board_daily_int_p_o_14_evening,board_daily_int_cta_m_evening,board_daily_int_coop_evening,board_daily_int_p_b_8_evening,Total_Morning_Boarding,Total_Evening_Boarding
Abdo Basha,772.0,0.0,1124.0,0.0,0.0,235.18756252289907,0.0,496.0,0.0,0.0,1896.0,731.187562522899
Abdullah Al Othaym (Nile Corniche),0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,276.0
Abo Senna Steps,0.0,0.0,0.0,337.0,0.0,48.0,224.0,0.0,356.0,0.0,337.0,628.0
Abo Sir Steps (Ring Rd.),44.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,44.0,128.0
Abou Al Majd Center (Mostorod),18.0,0.0,44.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,62.0,32.0
Abou Al Reesh,553.0,88.0,906.0,0.0,0.0,708.0,176.0,660.0,0.0,0.0,1547.0,1544.0
Abou Wafya,64.0,232.0,140.0,0.0,0.0,24.0,280.0,72.0,0.0,0.0,436.0,376.0
Abou Wafya Bridge,0.0,0.0,270.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,270.0,188.0
Abu Al Gheit Ambulance Service,194.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,194.0,32.0
Abu Al Houl ( Mansoureyya Rd. ),0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0
Abu Al Houl St.,506.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,506.0,408.0
Abu Bakr Al Sedeeq Mosque - Sheraton,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0
Abu Bakr Al Sediq Mosque (Sheraton),0.0,0.0,320.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,320.0,324.0
Abu El Numrus,0.0,942.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,942.0,392.0
Abu Khater (Al Matareyya),450.0,0.0,621.0,0.0,0.0,20.0,0.0,160.0,0.0,0.0,1071.0,180.0
Abu Makarem Mosque (Al Waili),70.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,70.0,12.0
Adawy (Nile Corniche),0.0,90.0,0.0,0.0,0.0,0.0,748.0,0.0,0.0,0.0,90.0,748.0
Aden St & Sudan St,0.0,1094.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,1094.0,56.0
Adidas Steps (Ring Rd.),206.0,343.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,549.0,300.0
Afendina Dome ( Manshiyat Nasser ),39.0,0.0,196.0,0.0,0.0,60.0,152.0,40.0,0.0,0.0,235.0,252.0
Agouza Corniche,242.0,0.0,27.0,0.0,0.0,148.0,56.0,56.0,0.0,0.0,269.0,260.0
Agouza Police Hospital,564.0,128.0,0.0,0.0,0.0,408.0,60.0,28.0,0.0,0.0,692.0,496.0
Agricultural Center (Badrasheen),0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0
Agricultural Research Center - Cairo University,59.0,0.0,251.0,0.0,0.0,64.0,0.0,32.0,0.0,0.0,310.0,96.0
Agyad School (Betcho),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahli Bank (Al Nadi Al Gedid St.),126.0,378.0,81.0,0.0,0.0,64.0,356.0,120.0,0.0,0.0,585.0,540.0
Ahli Kuwaiti Bank (Sudan St),143.0,199.0,0.0,0.0,0.0,24.0,160.0,0.0,0.0,0.0,342.0,184.0
Ahmed Al Sallab Mall (Nasr City),751.0,759.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,1510.0,472.0
Ahmed Badawi St.,2310.0,486.0,1319.0,0.0,0.0,2100.0,504.0,544.0,0.0,0.0,4115.0,3148.0
Ahmed Esmat St. & Ain Shams St.,65.0,0.0,216.0,0.0,0.0,64.0,0.0,108.0,0.0,0.0,281.0,172.0
Ahmed Fakhry and Autostrad,0.0,0.0,2437.0,0.0,0.0,36.0,92.0,1616.0,0.0,0.0,2437.0,1744.0
Ahmed Helmy,3948.0,2826.0,446.0,0.0,0.0,3076.0,4960.0,724.0,0.0,0.0,7220.0,8760.0
Ahmed Ismail Square (Alf Maskan),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Maher Teaching Hospital,1819.0,120.0,1452.0,0.0,0.0,1431.1607693913452,0.0,792.0,0.0,0.0,3391.0,2223.160769391345
Ahmed Oraby Metro,1609.0,1610.0,720.0,0.0,0.0,1388.0,1176.0,640.0,0.0,0.0,3939.0,3204.0
Ahmed Oraby Square (Obour),0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0
Ahmed Oraby St.,2334.0,1940.0,530.0,0.0,0.0,2264.0,2296.0,304.0,0.0,0.0,4804.0,4864.0
Ahmed Saaed Bridge Entrance,126.0,0.0,231.0,0.0,0.0,44.0,0.0,88.0,0.0,0.0,357.0,132.0
Ahmed Saaed Bridge Exit,0.0,798.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,798.0,672.0
Ahmed Saeed St. & Abaseyya St.,1151.0,0.0,484.0,0.0,0.0,313.8844089212114,0.0,436.0,0.0,0.0,1635.0,749.8844089212114
Ahmed Zaki St. (Maadi),0.0,154.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,154.0,92.0
Ahram Gardens Resort (6th of October),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahram School for Basic Education,0.0,0.0,159.0,0.0,0.0,48.0,0.0,20.0,784.0,0.0,159.0,852.0
Aida (Ahmed Helmy St.),64.0,45.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,109.0,48.0
Ain Helwan Metro,0.0,1092.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,1092.0,392.0
Ain Shams University,0.0,3059.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0,0.0
Ain Shams University (Obour),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ain Shams University Dorms,97.0,35.0,438.0,0.0,0.0,16.0,0.0,280.0,0.0,0.0,570.0,296.0
Air Force Hospital,160.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,160.0,128.0
Air Force Hospital (Al Waili),764.0,0.0,1196.0,0.0,0.0,336.0,0.0,1284.0,0.0,0.0,1960.0,1620.0
Akhnaton School,54.0,0.0,36.0,0.0,0.0,20.0,0.0,12.0,0.0,0.0,90.0,32.0
Akhnaton Square (5th Settlement),36.0,0.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.0,123.0,16.0
Al Aalam Specialized Hospital,211.0,1035.0,180.0,0.0,0.0,116.0,252.0,36.0,0.0,0.0,1426.0,404.0
Al Abageyya,421.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,421.0,112.0
Al Abaseyya Institute for Computer & Commercial Sciences,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0
Al Abaseyya Institute for Computers,0.0,0.0,0.0,2395.0,0.0,0.0,0.0,0.0,1400.0,0.0,2395.0,1400.0
Al Abeet Steps (Ring Rd.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Abtal Club ( Ein Al Seera),0.0,0.0,124.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,124.0,12.0
Al Abyad Automotive ( Faisal St.),0.0,280.0,0.0,0.0,0.0,0.0,344.0,80.0,0.0,0.0,280.0,424.0
Al Agouza Hospital,243.0,0.0,54.0,0.0,0.0,312.0,0.0,56.0,0.0,0.0,297.0,368.0
Al Agouza Steps (October Bridge),102.0,85.0,42.0,0.0,0.0,444.0,0.0,48.0,0.0,0.0,229.0,492.0
Al Ahli Bank (Courniche Boulaq),0.0,0.0,158.0,0.0,0.0,8.0,24.0,64.0,0.0,0.0,158.0,96.0
Al Ahli Bank (Faisal St.),0.0,280.0,218.0,0.0,0.0,0.0,344.0,320.0,0.0,0.0,498.0,664.0
Al Ahly Sporting Club,46.0,0.0,770.0,0.0,0.0,36.0,141.1668166689413,440.0,0.0,0.0,816.0,617.1668166689412
Al Ahly Sporting Club (Nasr City),0.0,0.0,308.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,308.0,64.0
Al Amir Steps (Ring Rd.),141.0,0.0,0.0,0.0,0.0,128.0,48.0,0.0,0.0,0.0,141.0,176.0
Al Anabeeb - Waili,427.0,0.0,162.0,0.0,0.0,332.0,0.0,40.0,0.0,0.0,589.0,372.0
Al Andalous Specialized Hospital (7th District Nasr City),41.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0
Al Areesh (Haram St.),232.0,1254.0,238.0,91.0,0.0,260.0,140.0,156.0,0.0,0.0,1815.0,556.0
Al Atraby Basha Abu Al Ezz St. & Gesr Al Suez St.,0.0,0.0,145.0,0.0,0.0,28.0,0.0,16.0,0.0,0.0,145.0,44.0
Al Azhar Park Gate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Azhar Pedestrian Bridge,873.0,116.0,295.0,0.0,0.0,148.0,0.0,284.0,0.0,0.0,1284.0,432.0
Al Azhar University Hospital ( Nasr City ),330.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,330.0,640.0
Al Azhar University Northen Gate,0.0,0.0,271.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,271.0,248.0
Al Azhar University Southern Gate,26.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,26.0,324.0
