Stop_Name,board_daily_int_cta_morning,board_daily_int_p_o_14_morning,board_daily_int_cta_m_morning,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_cta_evening,board_daily_int_p_o_14_evening,board_daily_int_cta_m_evening,board_daily_int_coop_evening,board_daily_int_p_b_8_evening,Total_Morning_Boarding,Total_Evening_Boarding
Al Kerdasi Schools (Marg),0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,168.0
Al Kersh Cars (Heliopolis),0.0,0.0,0.0,0.0,0.0,48.0,0.0,84.0,0.0,0.0,0.0,132.0
Al Khalafawy Square,1880.0,0.0,965.0,0.0,0.0,1568.0,288.0,496.0,0.0,0.0,2845.0,2352.0
Al Khashab Bridge,195.0,17.0,46.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,258.0,72.0
Al Khazan St. (6th of October),84.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,84.0,32.0
Al Khelaa St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Kholafaa Al Rashdeen Mosque - Nasr City,163.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0
Al Khouly Steps (Ring Rd.),0.0,18.0,0.0,0.0,0.0,12.0,48.0,0.0,0.0,0.0,18.0,60.0
Al Kurdi St. - Basateen Rd,261.0,0.0,0.0,0.0,0.0,240.0,0.0,16.0,0.0,0.0,261.0,256.0
Al Kuwaiti Mosque (Zahraa Al Maadi),0.0,0.0,115.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,115.0,48.0
Al Lewaa Steps (26th of July Corridor),46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
Al Maadi Company St. and Al Gazaer St.,398.0,2156.0,27.0,0.0,0.0,96.0,1288.0,48.0,0.0,0.0,2581.0,1432.0
Al Maagfera Mosque (Bolak),0.0,305.0,0.0,0.0,0.0,0.0,2444.0,0.0,0.0,0.0,305.0,2444.0
Al Maamal ( Al Remaya St.),78.0,0.0,78.0,0.0,0.0,72.0,0.0,100.0,0.0,0.0,156.0,172.0
Al Maasara Ferry,0.0,217.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,217.0,680.0
Al Maasara For Engineering Industries,0.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0
Al Mafareq (Al Moqattam),270.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,270.0,284.0
Al Mafariq (Al Zawya Al Hamra),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Magzar (Al Mariouteya),78.0,4565.0,252.0,0.0,0.0,120.0,4344.0,48.0,0.0,0.0,4895.0,4512.0
Al Magzar Al Aali (Autostrad),181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0
Al Mahkama (New Cairo),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Malek Al Saleh,64.0,3348.0,182.0,0.0,0.0,88.0,1512.0,96.0,0.0,0.0,3594.0,1696.0
Al Malek Al Saleh Bridge,404.0,538.0,89.0,0.0,0.0,352.0,108.0,68.0,0.0,0.0,1031.0,528.0
Al Malek Al Saleh Bridge Entrance,316.0,436.0,46.0,0.0,0.0,4.0,168.0,0.0,0.0,0.0,798.0,172.0
Al Malek Al Saleh Metro,34.0,490.0,118.0,0.0,0.0,0.0,52.0,16.0,0.0,0.0,642.0,68.0
Al Malek Al Saleh Tunnel Square,80.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,80.0,48.0
Al Manara Kiosk (Al Moqattam),205.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,205.0,124.0
Al Manarah Center For International Conferences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Manhal Private School,0.0,0.0,574.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,574.0,600.0
Al Manial,1189.0,0.0,455.0,0.0,0.0,704.0,0.0,304.0,0.0,0.0,1644.0,1008.0
Al Mansoreya & 26th of July Corridor,32.0,23.0,0.0,0.0,0.0,176.0,44.0,0.0,0.0,0.0,55.0,220.0
Al Marioteya Rd. & 26th of July Corridor,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0
Al Markaz St. (Abu Al Nomros),0.0,64.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,64.0,248.0
Al Masa Hall (Nile Corniche),0.0,394.0,0.0,0.0,0.0,12.0,132.0,0.0,0.0,0.0,394.0,144.0
Al Masah Hospital (Mahdy Arafa),0.0,2618.0,81.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2699.0,16.0
Al Masallah St. & Al Terilli St,0.0,0.0,49.0,91.0,0.0,0.0,0.0,120.0,88.0,0.0,140.0,208.0
Al Matareya Metro,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0
Al Matareyya City Authority,18.0,1505.0,90.0,0.0,0.0,12.0,1120.0,128.0,0.0,0.0,1613.0,1260.0
Al Matareyya Educational Hospital,320.0,1008.0,860.0,1128.0,0.0,64.0,832.0,460.0,1040.0,0.0,3316.0,2396.0
Al Matareyya Square Station,633.0,1937.0,906.0,0.0,0.0,364.0,1792.0,628.0,0.0,0.0,3476.0,2784.0
Al Mazallaat ( Shubra),2724.0,401.0,1429.0,0.0,0.0,2296.0,164.0,440.0,0.0,0.0,4554.0,2900.0
Al Mazallat,56.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,56.0,32.0
Al Mazallat Metro Station,225.0,2450.0,282.0,0.0,0.0,56.0,1064.0,28.0,0.0,0.0,2957.0,1148.0
Al Mearag Mosque (Ring Rd.),92.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,92.0,80.0
Al Moassasa Steps (Ring Rd.),0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0
Al Moemen Mosque,114.0,429.0,223.0,0.0,0.0,108.0,384.0,244.0,0.0,0.0,766.0,736.0
Al Mohandes Insurance (Ramses),552.0,156.0,364.0,0.0,0.0,204.0,0.0,312.0,0.0,0.0,1072.0,516.0
Al Mokhayam Al Daaem (Nasr City),0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Al Mokhtabar (Haram St.),0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0
Al Montazah Compound,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0
Al Moqattam Hospital,1392.0,0.0,505.0,0.0,0.0,344.0,0.0,292.0,0.0,0.0,1897.0,636.0
Al Moshir Tantawi Corridor Entrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Mosky (Port Said St.),403.0,0.0,1026.0,0.0,0.0,440.0,0.0,1236.0,0.0,0.0,1429.0,1676.0
Al Mostafa Center (6th of October),46.0,0.0,0.0,0.0,762.0,132.0,0.0,0.0,0.0,0.0,808.0,132.0
Al Mostafa Mosque,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
Al Mostaqbal Entrance,0.0,658.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,658.0,560.0
Al Mostaqbal Square (Obour),52.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,52.0,16.0
Al Mostashfa St & Ahmed Helmy St,0.0,279.0,0.0,0.0,0.0,48.0,280.0,0.0,0.0,0.0,279.0,328.0
Al Mostashfa St. & Faisel St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0
Al Motamayez Entrance (6th of October),125.0,113.0,0.0,0.0,0.0,128.0,60.0,0.0,0.0,0.0,238.0,188.0
Al Motamayez Wahat Entrance 1,0.0,0.0,0.0,0.0,133.0,0.0,48.0,0.0,0.0,96.0,133.0,144.0
Al Motamayez Wahat Entrance 2,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
Al Mothalath (Ahmed Al Zomor St.),35.0,0.0,1174.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,1209.0,432.0
Al Mothalath (Ahmed Al Zomor),0.0,0.0,388.0,0.0,0.0,0.0,36.0,600.0,0.0,0.0,388.0,636.0
Al Mothalath (Marg),0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,504.0
Al Mounira Hospital,289.0,658.0,169.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,1116.0,320.0
Al Mounira School ( Downtown),0.0,0.0,70.0,0.0,0.0,16.0,0.0,60.0,0.0,0.0,70.0,76.0
Al Mukhtar Mosque (Bassous),0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0
Al Naam Square (Ain Shams),92.0,23.0,533.0,0.0,0.0,112.0,24.0,188.0,0.0,0.0,648.0,324.0
Al Nada Hospital ( Manial ),58.0,0.0,36.0,0.0,0.0,32.0,0.0,48.0,0.0,0.0,94.0,80.0
Al Nadi Square (Maadi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Nady St. & Al Khalifa Al Mamoun St.,356.0,0.0,685.0,0.0,0.0,132.0,0.0,480.0,0.0,0.0,1041.0,612.0
Al Nagda Square (6th of October),28.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,28.0,128.0
Al Nahda Square (5th Settlement),23.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,23.0,24.0
Al Nahyan Hospital (Sheikh Zayed),141.0,907.0,62.0,0.0,0.0,16.0,528.0,20.0,0.0,0.0,1110.0,564.0
Al Nakhl (Nile Corniche),0.0,185.0,0.0,0.0,0.0,0.0,636.0,0.0,0.0,0.0,185.0,636.0
Al Narges 4 (5th Settlement),0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0
Al Narges 7 (5th Settlement),46.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,46.0,48.0
Al Narges 8 (5th Settlement),23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
Al Nasr Hospital (Helwan),0.0,1735.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,1735.0,200.0
Al Nasr Hotel ( Al Tayaran),0.0,0.0,192.0,0.0,0.0,64.0,0.0,224.0,0.0,0.0,192.0,288.0
Al Nasr Restaurant (Basateen),24.0,0.0,134.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,158.0,76.0
Al Nasr School ( Al Waili ),517.0,0.0,142.0,736.0,0.0,420.0,0.0,172.0,992.0,0.0,1395.0,1584.0
Al Noaman Palace ( Orouba Rd. ),9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Al Noor Al Mohammady (Imbaba),142.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,142.0,40.0
Al Noqrashy School (Hadayek Al Qobba),80.0,1812.0,149.0,0.0,0.0,0.0,2892.0,144.0,0.0,0.0,2041.0,3036.0
Al Nour Mosque (Abbaseya),554.0,0.0,307.0,0.0,0.0,336.0,0.0,128.0,0.0,0.0,861.0,464.0
Al Nour Mosque (Helwan Corniche),0.0,166.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,166.0,176.0
Al Nour Mosque (Nasr City),0.0,0.0,568.0,0.0,0.0,12.0,0.0,128.0,0.0,0.0,568.0,140.0
Al Nozha Al Gadeeda,267.0,854.0,0.0,0.0,0.0,216.0,616.0,40.0,0.0,0.0,1121.0,872.0
Al Nozha Al Gadida,459.0,0.0,450.0,0.0,0.0,144.0,0.0,264.0,0.0,0.0,909.0,408.0
Al Nozha St. & 30 St. (Sheikh Zayed),9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Al Nozha St. & Al Horreya (Sheikh Zayed),0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,552.0,343.0,552.0
Al Omraneyya,818.0,0.0,1068.0,0.0,0.0,40.0,0.0,528.0,0.0,0.0,1886.0,568.0
Al Omraneyya Al Gadida,866.0,0.0,3332.0,0.0,0.0,192.0,0.0,2168.0,0.0,0.0,4198.0,2360.0
Al Omraneyya Bridge Entrance from Giza,397.0,0.0,69.0,0.0,0.0,176.0,0.0,124.0,0.0,0.0,466.0,300.0
Al Omraneyya Bridge Exit,26.0,0.0,154.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,180.0,268.0
Al Orouba Rd ( Al Thawra St.),166.0,0.0,0.0,0.0,0.0,428.0,240.0,0.0,0.0,0.0,166.0,668.0
Al Orouba St. & Mergheny St.,18.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,18.0,228.0
Al Othman Motors (Ring Rd.),74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0
Al Qanater Al Khayriya,108.0,2101.0,0.0,0.0,0.0,16.0,1440.0,0.0,0.0,0.0,2209.0,1456.0
Al Qawmeya Cement Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Qobba Al Fidaweyya Mosque (Abbaseya),2384.0,0.0,697.0,0.0,0.0,856.8855143610608,0.0,452.0,0.0,0.0,3081.0,1308.8855143610608
Al Qudsi Mosque (Ain Shams St.),101.0,2128.0,230.0,0.0,0.0,16.0,1560.0,100.0,100.0,0.0,2459.0,1776.0
Al Rabwa (Sheikh Zayed),0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
Al Rahma Mosque (Airport Rd.),36.0,0.0,23.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,59.0,64.0
Al Rahman Mosque (1st Settlement),5.0,0.0,147.0,0.0,0.0,16.0,0.0,260.0,0.0,0.0,152.0,276.0
Al Rahman Mosque (Al Salam City),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Rashaah Steps (Ring Rd.),128.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0
Al Rawda & Al Horreya St.,9.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,9.0,24.0
Al Rawda Square (Al Manial),36.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,36.0,24.0
Al Rayan Hospital (Maadi),0.0,308.0,0.0,0.0,0.0,0.0,256.0,112.0,0.0,0.0,308.0,368.0
Al Remaya Square,26.0,0.0,152.0,364.0,399.0,48.0,172.0,100.0,140.0,340.0,941.0,800.0
Al Saa Square,61.0,1168.0,756.0,0.0,0.0,124.0,1344.0,1144.0,0.0,0.0,1985.0,2612.0
Al Sabteyya School,0.0,2903.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,2903.0,80.0
Al Safa Wal Marwa Mosque Steps (Ring Rd.),0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0
Al Saff,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,96.0
Al Safwa Hospital (Shubra),1358.0,0.0,798.0,0.0,0.0,1408.0,0.0,272.0,0.0,0.0,2156.0,1680.0
Al Safwa Mall,28.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,28.0,96.0
Al Sahel Fire Department,794.0,0.0,189.0,0.0,0.0,428.0,0.0,368.0,0.0,0.0,983.0,796.0
Al Sahel Police Department,1388.0,604.0,1236.0,0.0,0.0,1508.0,2016.0,688.0,0.0,0.0,3228.0,4212.0
Al Sahel Youth Center,671.0,51.0,321.0,0.0,0.0,356.0,92.0,400.0,0.0,0.0,1043.0,848.0
Al Salam,36.0,68.0,0.0,0.0,0.0,240.0,320.0,0.0,0.0,0.0,104.0,560.0
Al Salam Center (Maadi),8.0,146.0,0.0,0.0,0.0,73.28699739561957,292.0,0.0,0.0,0.0,154.0,365.28699739561955
Al Salam First Police Station,255.0,2222.0,0.0,0.0,0.0,36.0,672.0,0.0,0.0,0.0,2477.0,708.0
Al Salam Hospital (Al Salam City),30.0,353.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,383.0,4.0
Al Salam International Hospital,57.0,984.0,150.0,0.0,0.0,276.0,768.0,284.0,0.0,0.0,1191.0,1328.0
Al Salam Mosque (Haram St.),142.0,1554.0,36.0,210.0,0.0,120.0,1500.0,52.0,100.0,0.0,1942.0,1772.0
Al Salam Mosque (Nasr City),0.0,0.0,240.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,240.0,268.0
Al Salam Mosque (Wahat Rd.),0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0
Al Salam Tunnel Exit (Ring Rd.),0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0
Al Salam Tunnel Ring Rd. Entrance,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
Al Saraya Elementary School (Abbaseya),58.0,0.0,207.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,265.0,96.0
Al Saraya Mall (5th Settlement),18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
Al Sawah Square,361.0,0.0,54.0,0.0,0.0,44.0,0.0,84.0,0.0,0.0,415.0,128.0
Al Sawahel Canal St.,0.0,1790.9874821981898,440.0,0.0,0.0,0.0,613.6933407170005,0.0,0.0,0.0,2230.98748219819,613.6933407170005
Al Sawalha Complex (Al Sekka Al Hadeed St.),23.0,0.0,1170.0,3007.0,0.0,16.0,0.0,268.0,176.0,0.0,4200.0,460.0
Al Sawy Culture Wheel,120.0,0.0,225.0,0.0,0.0,488.0,0.0,340.0,0.0,0.0,345.0,828.0
Al Sayeda Aisha,3584.0,11132.0,974.0,0.0,0.0,1259.1067141073174,6716.0,1100.0,0.0,0.0,15690.0,9075.106714107318
Al Sayeda Khadija Mosque,0.0,0.0,189.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,189.0,28.0
Al Sayeda Khadija Mosque - Al Hegaz Street,336.0,0.0,807.0,0.0,0.0,136.0,0.0,576.0,0.0,0.0,1143.0,712.0
Al Sayeda Nafeesa,36.0,0.0,54.0,0.0,0.0,64.0,0.0,128.0,0.0,0.0,90.0,192.0
Al Sayeda Safeya Mosque - Salah Salem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Sayeda Zeinab,1764.0,261.0,1922.0,0.0,0.0,1204.0,0.0,856.0,0.0,0.0,3947.0,2060.0
Al Sayeda Zeinab District Presidency,84.0,0.0,147.0,0.0,0.0,12.0,0.0,24.0,0.0,0.0,231.0,36.0
Al Sekka (Ring Rd.),0.0,0.0,0.0,0.0,0.0,0.0,123.44407124407212,0.0,0.0,0.0,0.0,123.44407124407212
Al Sekka (Ring Road),0.0,67.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,67.0,72.0
Al Sekka Al Hadid Sporting Club - Nasr City,479.0,498.0,440.0,0.0,0.0,536.0,444.0,476.0,0.0,0.0,1417.0,1456.0
Al Sekka Al Hadid Sporting Club (Nasr City),807.0,745.0,476.0,0.0,0.0,612.0,580.0,236.0,0.0,0.0,2028.0,1428.0
Al Sewedy (Laylat Al Qadr),56.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,56.0,32.0
Al Shaarawy (Arbean St.),0.0,1812.0,1012.0,0.0,0.0,0.0,672.0,684.0,0.0,0.0,2824.0,1356.0
Al Shaarawy St. (Shubra Al Kheima),0.0,0.0,74.0,1440.0,0.0,16.0,0.0,0.0,880.0,0.0,1514.0,896.0
Al Shabab (Al Tagneed),52.0,0.0,10.0,0.0,0.0,48.0,0.0,132.0,0.0,0.0,62.0,180.0
Al Shabab Entrance (1st Settlement),95.0,0.0,705.0,0.0,0.0,176.0,0.0,632.0,0.0,0.0,800.0,808.0
Al Shabab Entrance (5th Settlement),45.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,45.0,56.0
Al Shabab Square (1st Settlement),97.0,0.0,493.0,0.0,0.0,108.0,0.0,344.0,0.0,0.0,590.0,452.0
Al Shaboory Canal,310.0,0.0,525.0,192.0,0.0,32.0,0.0,384.0,700.0,0.0,1027.0,1116.0
Al Shabrawy (1st Settlement),129.0,0.0,741.0,0.0,0.0,124.0,0.0,600.0,0.0,0.0,870.0,724.0
Al Shabrawy (Al Mansoreya Rd.),0.0,0.0,52.0,0.0,0.0,24.0,0.0,24.0,144.0,0.0,52.0,192.0
Al Shaheed Axis,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
Al Shaheed Axis Pedestrian Bridge,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Al Shaheed Corridor,0.0,819.0,0.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,819.0,576.0
Al Shaheed Mosque (Al Marg),0.0,0.0,258.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,258.0,72.0
Al Shaheed Square (Obour),13.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,13.0,32.0
Al Shari' Al Gadeed (Bahteem),312.0,121.0,1010.0,1156.0,0.0,80.0,0.0,608.0,116.0,0.0,2599.0,804.0
Al Sheikh Agamy (Marg),0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,148.0
Al Sheikh Al Jadid St.,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0
Al Sheikh Mansour,0.0,0.0,176.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,176.0,24.0
Al Sheikh Parking (Ahmed Helmy St.),96.0,424.0,81.0,0.0,0.0,72.0,132.0,36.0,0.0,0.0,601.0,240.0
Al Shenawy St. & Sadat St.,0.0,3976.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,3976.0,840.0
Al Sherif Mosque (Manial),278.0,0.0,270.0,0.0,0.0,196.0,0.0,48.0,0.0,0.0,548.0,244.0
Al Shimy Car Center (Hadayeq Al Qobba),0.0,1274.0,31.0,0.0,0.0,0.0,224.0,24.0,0.0,0.0,1305.0,248.0
Al Shorouq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Shorouq Academy Entrance,68.0,0.0,0.0,0.0,0.0,180.0,168.0,0.0,0.0,0.0,68.0,348.0
Al Shorouq City Authority Steps,39.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,39.0,160.0
Al Shorouq Club (Nile Corniche),0.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,0.0
Al Shorouq Hospital ( 15th of May St.),69.0,0.0,940.0,891.0,0.0,16.0,48.0,712.0,1312.0,0.0,1900.0,2088.0
Al Shorouq Housing Complex Entrance,0.0,0.0,254.0,0.0,0.0,0.0,256.0,220.0,0.0,0.0,254.0,476.0
Al Shorouq School (Shorouq City),39.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,39.0,112.0
Al Shorouq Water Station,65.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,65.0,272.0
Al Soltan Hassan Mosque,205.0,0.0,181.0,0.0,0.0,176.0,0.0,160.0,0.0,0.0,386.0,336.0
Al Souq (Al Moqattam),68.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,68.0,112.0
Al Taawon (Haram St),52.0,0.0,0.0,84.0,0.0,60.0,1964.0,0.0,72.0,0.0,136.0,2096.0
Al Taawon Gas Station (Al Shabab St. Obour),0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0
Al Tabba (Nasr City),496.0,0.0,2313.0,0.0,0.0,324.0,2688.0,736.0,0.0,0.0,2809.0,3748.0
Al Tadreeb Gate (Teraet Al Ismaili St),13.0,0.0,22.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,35.0,16.0
Al Talateeny (Al Lebeny St.),13.0,495.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,508.0,144.0
Al Talbeya Steps (Ring Rd.),0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0
Al Tarek Al Abead & Rind Rd,0.0,0.0,0.0,0.0,0.0,0.0,105.76035679774299,0.0,0.0,0.0,0.0,105.76035679774299
Al Tawba Mosque (Abu Al Nomros),0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
Al Tawheed Mosque (1st Settlement),42.0,0.0,36.0,0.0,0.0,160.0,0.0,56.0,0.0,0.0,78.0,216.0
Al Tawheed Mosque (Al Zaytoun),0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,360.0
Al Tawheed Wal Nour - Al Waili,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,180.0
Al Tawheed Wal Nour (10th of Ramadan),0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0
Al Tawheed Wal Nour (Abbas Al Akkad),0.0,0.0,75.0,0.0,0.0,48.0,0.0,132.0,0.0,0.0,75.0,180.0
Al Tawheed Wal Nour (Al Geish St.),0.0,0.0,0.0,0.0,0.0,72.0,0.0,20.0,0.0,0.0,0.0,92.0
Al Tawheed Wal Nour (Al Hossary),28.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,28.0,32.0
Al Tawheed Wal Nour (Al Nozha St.),0.0,0.0,199.0,0.0,0.0,48.0,0.0,52.0,0.0,0.0,199.0,100.0
Al Tawheed Wal Nour (Al Nozha St),52.0,233.0,84.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,369.0,48.0
Al Tawheed Wal Nour (Al Sayeda Zeinab),779.0,440.0,806.0,0.0,0.0,468.0,1008.0,564.0,0.0,0.0,2025.0,2040.0
Al Tawheed Wal Nour (Autostrad Maadi),0.0,349.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,349.0,1152.0
Al Tawheed Wal Nour (Faisal St.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0
Al Tawheed Wal Nour (Merryland),0.0,0.0,519.0,0.0,0.0,92.0,0.0,444.0,0.0,0.0,519.0,536.0
Al Tawheed Wal Nour (Mostafa Al Nahas),0.0,0.0,486.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,486.0,828.0
Al Tawheed Wal Nour (Warraq),39.0,0.0,306.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,345.0,136.0
Al Tayaran St. & Mostafa Al Nahas,687.0,1106.0,1125.0,0.0,0.0,428.0,2300.0,1480.0,0.0,0.0,2918.0,4208.0
Al Teraa Al Bolaqiya St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Thawra Hospital (Helipolis),14.0,0.0,356.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,370.0,352.0
Al Tibeen,0.0,1487.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,0.0,1487.0,596.0
