Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
PDlizFncn7JYVajF5DkR9,Microbus,4.68374840808076,14
P_O_14_CA005,Microbus,10.8974208941785,14
GKwSUuezWdV45Rd_Qtady,Microbus,11.2762608399413,14
BOX_6O003,Box,9.63253177071659,10
IYD6dwYtSHca6S9EV__lK,Microbus,6.31717518713689,14
CTA_1134,Bus,18.9214544447356,49
iDpD8dsATU1Rs0Mdtlwor,Microbus,6.43610948289358,14
P_O_14_IC003,Microbus,23.0061820292594,14
CTA_M_167,Minibus,31.9927057636241,33
P_O_14_CA129,Microbus,14.5347499823462,14
CTA_982,Bus,25.1357417407402,49
P_O_14_IG092,Microbus,21.9359345170482,14
MM_M11,Bus,33.4476726047316,49
EgKIe-2AnaMNxtDaRSfZi,Tomnaya,8.22215530918044,7
FBT0F0L0nZP2Z5ICmHls-,Microbus,8.2309696592164,14
P_O_14_IG010,Microbus,7.90609492682556,14
CTA_1140,Bus,20.5116297985363,49
P_O_14_IG089,Microbus,5.4119373320689,14
RSdIAdQiV_sN5aWHuOSsc,Microbus,2.78717047377964,14
P_O_14_CA112,Microbus,12.3954395390816,14
CTA_M_158,Minibus,23.0347342043377,33
G3SanxHficxx5Wx3Kfnn0,Microbus,17.5653153834274,14
P_O_14_IC056,Microbus,17.8797434708796,14
fwS4JbFtp5dtGtwMGqXBH,Microbus,11.7189361343772,14
P_O_14_IC003,Microbus,21.0771573864922,14
P_O_14_IC074,Microbus,41.5648595277344,14
CTA_342,Bus,17.060593394919,49
dGZEosc821pSF0MGiNb76,Microbus,4.62905672651204,14
P_O_14_GZ042,Microbus,16.3192754357582,14
P_O_14_IC020,Microbus,8.99050383150915,14
G78c4G-oy20XNbcMYCzxY,Microbus,5.31072741438766,14
P_O_14_CA159,Microbus,25.6950913384315,14
P_O_14_CA005,Microbus,10.7937577349697,14
P_O_14_IC059,Microbus,39.0379325189116,14
EbtM_hQ0jhsQyuGc5GCpz,Tomnaya,4.64109227020441,7
P_O_14_IC037,Microbus,33.4688317972872,14
P_O_14_IG031,Microbus,15.1087669144512,14
JyWtn3ABwFi8HtnOdZir3,Microbus,4.65625486903884,14
CTA_833,Bus,13.1975176240467,49
HZd1EesltJ445uu9I6wbH,Microbus,1.96411798951429,14
Eq5DUhwePKrivC_r5EyAz,Bus,13.9866507016021,49
P_O_14_IG073,Microbus,9.19541611992938,14
30QI2WFsvNrXncGOrD-Yl,Tomnaya,3.12971587116013,7
LpiM9b8bL-w2_OYYAi9OZ,Microbus,1.4085074555255,14
MfH-pfpTAl0OVRoWJgzRH,Bus,8.7214791869542,49
EN8O17ndwKGdqbV4Vemgm,Bus,22.2890223362312,49
P_O_14_CA115,Microbus,7.18129349641436,14
CTA_828,Bus,18.7555149521332,49
P_O_14_IG039,Microbus,9.48279997111837,14
CTA_1145,Bus,29.6543008141913,49
BOX_6O003,Box,8.12662380793057,10
P_O_14_IC076,Microbus,54.8946980479241,14
P_O_14_CA142,Microbus,37.9366409037432,14
P_O_14_CA160,Microbus,31.6727487734452,14
hdBN4uzpUjTGN0vKzf9kW,Microbus,5.53502392821471,14
aJY-YEz8s6i0ojLZgEitA,Microbus,9.31910434824613,14
P_B_8_GZ060,Tomnaya,11.3257643396456,7
OV9c3M2XEp7fizUlcqY26,Microbus,11.8476396402797,14
wefEKmjKPjq1ZbcWyQSwL,Tomnaya,4.00798237321295,7
P_O_14_IC068,Microbus,24.869579292515,14
CTA_M_142,Minibus,34.8013115123336,33
uW2y9jwwdAHo_waEy2qex,Microbus,11.0563299449476,14
P_O_14_IC001,Microbus,22.9589968014326,14
67VWfBwz-LVqC7OxaN5Cj,Microbus,6.00633713013574,14
P_O_14_6O021,Microbus,12.4698387270141,14
tChScy_qLlcoN-TeOox9G,Microbus,3.50962563137536,14
KmVdHOhRfUX8cw29qR_Vo,Tomnaya,5.01734588814534,7
8TSoqsVo41bExi7Jg16qQ,Microbus,8.53733800935469,14
rdpn6hzcA1xgiqwViabDy,Tomnaya,5.17735811220591,7
utymBvr8ZF897oTW9pDue,Bus,11.7083521297067,49
P_B_8_CA095,Tomnaya,2.2406627029962,7
P_O_14_IC004,Microbus,21.8079798154259,14
CTA_80,Bus,17.4613411299607,49
CTA_794,Bus,29.0691408318321,49
ejAVozyP784n-DqXuiW2U,Bus,10.0793252190685,49
P_O_14_CA084,Microbus,7.2612228948465,14
CTA_M_117,Minibus,31.4011687089742,33
aJY-YEz8s6i0ojLZgEitA,Microbus,7.93859944044152,14
P_O_14_CA130,Microbus,9.04656332452593,14
eZRgIovK0tJAVzmhR85GR,Microbus,12.8657444954893,14
P_O_14_IC050,Microbus,10.4056972353333,14
P_B_8_CA106,Tomnaya,1.76907990901104,7
6Qg43sT3Clqienri3AXm7,Microbus,22.1591850209272,14
P_B_8_CA106,Tomnaya,2.48944454635551,7
c9cUCbuNGMusHnHEIT34g,Bus,7.67093644831373,49
CTA_1148,Bus,24.8675232587746,49
CTA_1147,Bus,47.1387556953904,49
CTA_46,Bus,17.0509887374514,49
CTA_69,Bus,24.7006917315826,49
P_O_14_IG096,Microbus,9.12348569766576,14
P_O_14_IC100,Microbus,35.6453589357175,14
P_O_14_IG044,Microbus,3.7791338617004,14
COOP_GZ029,Minibus,14.8895668130214,33
P_O_14_IC089,Microbus,25.131662627681,14
CTA_31S,Bus,14.3032179373239,49
CTA_M_19,Minibus,33.2230097432193,33
CTA_82,Bus,6.42411948422724,49
P_O_14_IC002,Microbus,23.5488953041852,14
P_O_14_CA040,Microbus,5.10031244710395,14
COOP_IG048,Minibus,12.6510314250964,33
P_O_14_CA032,Microbus,2.63975854153386,14
CTA_1161,Bus,40.0049942504479,49
P_B_8_NC017,Tomnaya,4.88179648364079,7
P_O_14_SZ010,Microbus,10.3811964660605,14
P_O_14_IG056,Microbus,8.20815524507868,14
BOX_6O028,Box,6.70698736816892,10
P_O_14_IC071,Microbus,11.5939228433986,14
FBT0F0L0nZP2Z5ICmHls-,Microbus,8.84466516861519,14
P_O_14_IC013,Microbus,34.041351226262,14
P_O_14_IC034,Microbus,20.7669353220823,14
P_O_14_CA155,Microbus,22.1871814909801,14
tywNfVmg7Vw0gAzy8NLvu,Microbus,29.6691787698735,14
wt6gx-bxKC-Iyl7o604Vq,Microbus,50.5871563915056,14
22jIZH2MmWm88pZ3MORG_,Microbus,48.4738791335316,14
LneRsrKsi5-xujQOkQX66,Microbus,45.5691164714095,14
CTA_69,Bus,28.3726693789046,49
aLrT5j0aQaI9mR_I4nxYy,Microbus,7.65195080406959,14
-VhmbIy80una-3ZcYAtuQ,Microbus,4.07228944487558,14
0mQ8cT0ZE81ogwfFKHdrc,Minibus,18.7968551685884,33
m9IKw8bdVfTvbKv5OgLgV,Microbus,3.70506527134535,14
30QI2WFsvNrXncGOrD-Yl,Tomnaya,4.37056480111089,7
wXzxv5mG6pJgRBElFDWcQ,Microbus,73.5526498823959,14
lERFh__deEcw2uO7KdOxv,Microbus,8.05579067851282,14
CTA_250,Bus,11.0820517285448,49
P_O_14_IC018,Microbus,38.7641429263574,14
CTA_910,Bus,24.3883548325676,49
