Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
351,Church (Kayan) - New Administrative Capital,0.0,0.0,,0,0,,0.0,0.0,
355,Cairo Alexandria Agriculture Road,63.0,941.076158675775,14.93771680437738,5,2,0.0,4.1588830833596715,6.848086119159493,0.0
356,Jazirat Mohamed (2),0.0,0.0,,0,0,,0.0,0.0,
357,Ezbat Khairallah,63.0,559.0,8.873015873015873,2,1,0.0,4.1588830833596715,6.327936783729195,0.0
23,Traffic Department  (Kattameya),0.0,0.0,,0,0,,0.0,0.0,
102,Dolce,61.0,405.0,6.639344262295082,5,4,0.0,4.127134385045092,6.0063531596017325,0.0
124,11th District (6th of October),25.0,262.0,10.48,4,3,0.0,3.258096538021482,5.572154032177765,0.0
86,Al Shabab Entrance,146.0,2103.0,14.404109589041095,9,8,0.0,4.990432586778736,7.651595573857601,0.0
20,Alf Maskan,593.0,6646.837208926379,11.208831718256963,10,10,0.0,6.386879319362645,8.802046849010193,0.0
1,Al Sayeda Aisha,5.0,4269.337518907476,853.8675037814952,1,13,0.0,1.791759469228055,8.359448147339466,0.0
15,Shabab (Obour),52.0,283.0,5.4423076923076925,6,4,0.0,3.970291913552122,5.648974238161206,0.0
19,Alf Masnaa,2.0,158.0,79.0,1,1,0.0,1.0986122886681098,5.0689042022202315,0.0
326,Mall of Arabia,33.0,282.0,8.545454545454545,1,1,0.0,3.5263605246161616,5.645446897643238,0.0
2,Smart Village,11.0,11.0,1.0,3,1,0.0,2.4849066497880004,2.4849066497880004,0.0
3,10th District (6th of October),32.0,438.0,13.6875,4,4,0.0,3.4965075614664802,6.0844994130751715,0.0
4,Hossary,29.0,155.0,5.344827586206897,2,2,0.0,3.4011973816621555,5.049856007249537,0.0
6,Al Shorouq,10.0,166.0,16.6,4,2,0.0,2.3978952727983707,5.117993812416755,0.0
7,Rawda Mosque  (Obour),30.0,0.0,0.0,3,0,1.0,3.4339872044851463,0.0,3.4339872044851463
9,Remaya (New Mashaal),97.0,720.6086047387386,7.428954688028233,5,9,0.0,4.584967478670572,6.581482893204394,0.0
10,Ommal Square,161.0,990.0,6.149068322981367,6,6,0.0,5.087596335232384,6.898714534329988,0.0
13,Magda Square,267.0,550.0,2.059925093632959,9,3,0.0,5.5909869805108565,6.311734809152915,0.0
14,Total  (6th of October),0.0,0.0,,0,0,,0.0,0.0,
16,Dawaran Shubra,511.0,1527.6432382684338,2.989517100329616,11,13,0.0,6.238324625039508,7.33213584859769,0.0
22,Helwan University (Ain Helwan),0.0,0.0,,0,0,,0.0,0.0,
24,Isaaf,252.0,2107.8028145827107,8.364296883264725,9,6,0.0,5.53338948872752,7.653875678991815,0.0
25,3rd Settlement  (New Cairo),36.0,316.0,8.777777777777779,4,9,0.0,3.6109179126442243,5.75890177387728,0.0
26,Mehwar & Alex Desert Rd,326.0,2335.9907041055694,7.16561565676555,10,9,0.0,5.7899601708972535,7.756619356826869,0.0
27,Darrasa,55.0,1261.0,22.927272727272726,4,10,0.0,4.02535169073515,7.140453043101158,0.0
28,Amr Ibn El Aas,28.0,430.0,15.357142857142858,1,10,0.0,3.367295829986474,6.066108090103747,0.0
29,Abd Al Moneim Riad,1336.0,4284.347820262158,3.2068471708549087,15,17,0.0,7.198183577101943,8.362956999327414,0.0
30,Abou Al Reesh,0.0,0.0,,0,0,,0.0,0.0,
31,FUE,8.0,329.24068607842855,41.15508575980357,2,3,0.0,2.1972245773362196,5.799821740365607,0.0
32,Haram Mashaal,71.0,612.4946798628912,8.626685631871707,6,9,0.0,4.276666119016055,6.419171592333238,0.0
33,Rehab - Gate 13 - 12,15.0,185.0,12.333333333333334,2,2,0.0,2.772588722239781,5.225746673713202,0.0
34,Lebanon Square,171.0,1118.0267023643942,6.538167850084176,7,6,0.0,5.147494476813453,7.020214570729981,0.0
35,Masraweya,25.0,596.2406860784286,23.84962744313714,4,3,0.0,3.258096538021482,6.392320191406093,0.0
36,Sheikh Zayed General Hospital,26.0,370.93731731297885,14.266819896653033,4,4,0.0,3.295836866004329,5.918725338228285,0.0
38,Helwan Ferry,0.0,0.0,,0,0,,0.0,0.0,
39,Badr (Sheikh Zayed),16.0,175.93731731297888,10.99608233206118,5,2,0.0,2.833213344056216,5.175795530376941,0.0
65,Al Hegaz (Obour Police ),25.0,0.0,0.0,2,0,1.0,3.258096538021482,0.0,3.258096538021482
66,Gas (Banks Area),71.0,336.24068607842855,4.7357843109637825,5,2,0.0,4.276666119016055,5.820796877444614,0.0
40,10th District (Nasr City),8.0,88.0,11.0,1,1,0.0,2.1972245773362196,4.48863636973214,0.0
