Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
Al Mothalath (Ahmed Al Zomor St.),1285.0,88.0,1897.0,88.0,1373.0,1985.0,POINT (342989.7344975356 3325253.615968385),0.9359067734887109,0.9556675062972292,0.9359067734887109,0.9556675062972292,Formal,Formal,False
Al Mothalath (Ahmed Al Zomor),844.0,575.0,1716.0,919.0,1419.0,2635.0,,0.594785059901339,0.6512333965844402,0.594785059901339,0.6512333965844402,Formal,Formal,False
Al Mothalath (Marg),0.0,112.0,0.0,952.0,112.0,952.0,POINT (341940.1566532566 3343516.2423810693),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Mounira Hospital,698.0,1175.0,782.0,1775.0,1873.0,2557.0,POINT (330206.61447204265 3323905.4995037033),0.3726641751201281,0.30582714118107157,0.3726641751201281,0.30582714118107157,Informal,Informal,False
Al Mounira School ( Downtown),183.0,0.0,335.0,0.0,183.0,335.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Mukhtar Mosque (Bassous),0.0,516.0,0.0,1596.0,516.0,1596.0,POINT (328329.2848575266 3334783.554113954),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Naam Square (Ain Shams),1301.0,138.0,1961.0,258.0,1439.0,2219.0,POINT (337958.558027774 3333461.338142656),0.9041000694927033,0.8837314105452907,0.9041000694927033,0.8837314105452907,Formal,Formal,False
Al Nada Hospital ( Manial ),347.0,0.0,663.0,0.0,347.0,663.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nadi Square (Maadi),18.0,86.0,18.0,86.0,104.0,104.0,POINT (332464.46323645674 3315970.827040947),0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,Informal,Informal,False
Al Nady St. & Al Khalifa Al Mamoun St.,2681.0,0.0,3961.0,0.0,2681.0,3961.0,POINT (337369.6028259776 3330014.744719337),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nagda Square (6th of October),112.0,0.0,336.0,0.0,112.0,336.0,POINT (300184.16107343277 3316273.0383275524),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nahda Square (5th Settlement),23.0,0.0,87.0,0.0,23.0,87.0,POINT (352360.5655733009 3319733.239520585),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nahyan Hospital (Sheikh Zayed),503.0,3127.0,683.0,5823.0,3630.0,6506.0,,0.13856749311294767,0.10498001844451275,0.13856749311294767,0.10498001844451275,Informal,Informal,False
Al Nakhl (Nile Corniche),26.0,566.0,38.0,1658.0,592.0,1696.0,POINT (334798.3422056396 3307681.8442605846),0.04391891891891892,0.02240566037735849,0.04391891891891892,0.02240566037735849,Informal,Informal,False
Al Narges 4 (5th Settlement),46.0,0.0,70.0,0.0,46.0,70.0,POINT (350453.94847668114 3320445.401608889),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Narges 7 (5th Settlement),69.0,0.0,125.0,0.0,69.0,125.0,POINT (351395.82175525546 3320152.112415122),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Narges 8 (5th Settlement),23.0,0.0,23.0,0.0,23.0,23.0,POINT (351575.73127071053 3319967.4207292623),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nasr Hospital (Helwan),0.0,7014.0,0.0,9418.0,7014.0,9418.0,POINT (337856.26175845665 3302162.910739152),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Nasr Hotel ( Al Tayaran),681.0,0.0,1081.0,0.0,681.0,1081.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nasr Restaurant (Basateen),561.0,0.0,953.0,0.0,561.0,953.0,POINT (333268.16139830084 3318508.8514534375),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nasr School ( Al Waili ),1562.0,2131.0,2742.0,3823.0,3693.0,6565.0,POINT (334006.60915549216 3330741.0654691514),0.42296236122393716,0.41766945925361765,0.42296236122393716,0.41766945925361765,Informal,Informal,False
Al Noaman Palace ( Orouba Rd. ),27.0,41.0,27.0,41.0,68.0,68.0,,0.39705882352941174,0.39705882352941174,0.39705882352941174,0.39705882352941174,Informal,Informal,False
Al Noor Al Mohammady (Imbaba),297.0,0.0,417.0,0.0,297.0,417.0,POINT (327797.8672987355 3330258.246379295),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Noqrashy School (Hadayek Al Qobba),625.0,2960.0,1113.0,7148.0,3585.0,8261.0,POINT (335515.2415767836 3330211.9363407493),0.17433751743375175,0.13472945164023725,0.17433751743375175,0.13472945164023725,Informal,Informal,False
Al Nour Mosque (Abbaseya),1322.0,0.0,2386.0,0.0,1322.0,2386.0,POINT (334446.9248799989 3328325.743841328),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nour Mosque (Helwan Corniche),13.0,166.0,25.0,486.0,179.0,511.0,POINT (335833.99689214595 3299281.157832043),0.07262569832402235,0.04892367906066536,0.07262569832402235,0.04892367906066536,Informal,Informal,False
Al Nour Mosque (Nasr City),631.0,828.0,871.0,1268.0,1459.0,2139.0,POINT (344401.42326232383 3325406.9092863826),0.43248800548320765,0.4071996259934549,0.43248800548320765,0.4071996259934549,Informal,Informal,False
Al Nozha Al Gadeeda,593.0,854.0,1197.0,1470.0,1447.0,2667.0,POINT (342187.8274826677 3334221.156075869),0.40981340704906705,0.44881889763779526,0.40981340704906705,0.44881889763779526,Informal,Informal,False
Al Nozha Al Gadida,2943.0,0.0,3923.0,0.0,2943.0,3923.0,POINT (342293.68627047504 3333807.043142812),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Nozha St. & 30 St. (Sheikh Zayed),14.0,49.0,26.0,49.0,63.0,75.0,POINT (308360.8203112694 3325096.7156266235),0.2222222222222222,0.3466666666666667,0.2222222222222222,0.3466666666666667,Informal,Informal,False
Al Nozha St. & Al Horreya (Sheikh Zayed),0.0,637.0,24.0,1741.0,637.0,1765.0,POINT (308103.0127141733 3325449.458184525),0.0,0.013597733711048159,0.0,0.013597733711048159,Informal,Informal,False
Al Omraneyya,1938.0,0.0,2542.0,0.0,1938.0,2542.0,POINT (326194.1405587564 3319538.1050635083),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Omraneyya Al Gadida,8432.0,0.0,13856.0,0.0,8432.0,13856.0,POINT (325338.2079466671 3318895.183893589),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Omraneyya Bridge Entrance from Giza,855.0,840.0,1591.0,840.0,1695.0,2431.0,POINT (327235.247418918 3320455.8405377963),0.504424778761062,0.6544631838749486,0.504424778761062,0.6544631838749486,Formal,Formal,False
Al Omraneyya Bridge Exit,299.0,0.0,719.0,0.0,299.0,719.0,POINT (326874.1467581275 3319975.5331192887),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Orouba Rd ( Al Thawra St.),391.0,108.0,943.0,588.0,499.0,1531.0,,0.7835671342685371,0.6159372958850424,0.7835671342685371,0.6159372958850424,Formal,Formal,False
Al Orouba St. & Mergheny St.,18.0,499.0,334.0,499.0,517.0,833.0,POINT (338525.3593295292 3329419.832186072),0.03481624758220503,0.4009603841536615,0.03481624758220503,0.4009603841536615,Informal,Informal,False
Al Othman Motors (Ring Rd.),74.0,0.0,90.0,32.0,74.0,122.0,POINT (341979.0515733103 3338281.243106547),1.0,0.7377049180327869,1.0,0.7377049180327869,Formal,Formal,False
Al Qanater Al Khayriya,623.0,2901.0,935.0,4341.0,3524.0,5276.0,POINT (320262.93937065406 3341846.718982818),0.1767877412031782,0.17721758908263835,0.1767877412031782,0.17721758908263835,Informal,Informal,False
Al Qawmeya Cement Club,0.0,53.0,0.0,53.0,53.0,53.0,POINT (335731.6816831229 3300431.886197191),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Qobba Al Fidaweyya Mosque (Abbaseya),4221.0,0.0,5572.412329029175,0.0,4221.0,5609.528167157073,POINT (334263.3871529129 3327691.7004251345),1.0,0.9933834295823302,1.0,0.9933834295823302,Formal,Formal,False
Al Qudsi Mosque (Ain Shams St.),750.0,4721.0,1450.0,6781.0,5471.0,8231.0,POINT (338713.3136196028 3335178.4235388217),0.1370864558581612,0.1761632851415381,0.1370864558581612,0.1761632851415381,Informal,Informal,False
Al Rabwa (Sheikh Zayed),5.0,0.0,17.0,0.0,5.0,17.0,POINT (307148.52291123633 3326732.5242946534),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Rahma Mosque (Airport Rd.),176.0,486.0,240.0,546.0,662.0,786.0,POINT (343197.8084933498 3333313.853759206),0.26586102719033233,0.3053435114503817,0.26586102719033233,0.3053435114503817,Informal,Informal,False
Al Rahman Mosque (1st Settlement),152.0,0.0,428.0,0.0,152.0,428.0,POINT (351077.9596017269 3325651.0494708056),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Rahman Mosque (Al Salam City),0.0,149.0,0.0,197.0,149.0,197.0,POINT (348097.37479248096 3338743.2733168625),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Rashaah Steps (Ring Rd.),141.0,106.0,141.0,298.0,247.0,439.0,POINT (338577.48959642294 3338074.656232252),0.5708502024291497,0.3211845102505695,0.5708502024291497,0.3211845102505695,Formal,Informal,True
Al Rawda & Al Horreya St.,18.0,0.0,66.0,0.0,18.0,66.0,POINT (307472.7899096531 3324980.5466795056),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Rawda Square (Al Manial),773.0,0.0,1253.0,0.0,773.0,1253.0,POINT (328790.49454912497 3321903.9514842792),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Rayan Hospital (Maadi),270.0,1236.0,510.0,3128.0,1506.0,3638.0,POINT (332658.5354855859 3316429.179370195),0.17928286852589642,0.14018691588785046,0.17928286852589642,0.14018691588785046,Informal,Informal,False
Al Remaya Square,240.0,3127.0,496.0,5159.0,3367.0,5655.0,POINT (319368.0509167472 3319157.752496984),0.07128007128007129,0.08770999115826703,0.07128007128007129,0.08770999115826703,Informal,Informal,False
Al Saa Square,1571.0,1264.0,3491.0,2608.0,2835.0,6099.0,POINT (339827.2084005429 3327641.7162867743),0.5541446208112875,0.572388916215773,0.5541446208112875,0.572388916215773,Formal,Formal,False
Al Sabteyya School,0.0,7839.0,0.0,9439.0,7839.0,9439.0,POINT (329960.781496774 3327354.0120522883),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Safa Wal Marwa Mosque Steps (Ring Rd.),0.0,282.0,0.0,610.0,282.0,610.0,POINT (330281.71295411093 3319258.240633043),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Saff,0.0,152.0,0.0,748.0,152.0,748.0,POINT (338052.4940593331 3304847.5618699864),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Safwa Hospital (Shubra),3801.0,0.0,6693.0,0.0,3801.0,6693.0,POINT (330905.0900523574 3330466.876171532),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Safwa Mall,74.0,0.0,226.0,0.0,74.0,226.0,POINT (307366.53287968517 3322191.6707443045),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sahel Fire Department,2270.0,125.0,3422.0,125.0,2395.0,3547.0,POINT (330896.19884013745 3329554.8762544775),0.9478079331941545,0.9647589512263886,0.9478079331941545,0.9647589512263886,Formal,Formal,False
Al Sahel Police Department,6021.0,1755.0,10141.0,7479.0,7776.0,17620.0,POINT (330889.59039903746 3329389.9234960335),0.7743055555555556,0.575539160045403,0.7743055555555556,0.575539160045403,Formal,Formal,False
Al Sahel Youth Center,1861.0,498.0,3097.0,2262.0,2359.0,5359.0,POINT (331682.74293535633 3330901.0066626905),0.7888935989826198,0.5779063258070536,0.7888935989826198,0.5779063258070536,Formal,Formal,False
Al Salam,255.0,993.0,1071.0,1821.0,1248.0,2892.0,POINT (346771.51302100817 3337030.421271416),0.20432692307692307,0.3703319502074689,0.20432692307692307,0.3703319502074689,Informal,Informal,False
Al Salam Center (Maadi),97.0,1700.0,414.00947793101125,2580.0,1797.0,2095.8547003909707,POINT (333600.6647254539 3317559.0561270677),0.053978853644963826,0.19753729962949243,0.053978853644963826,0.19753729962949243,Informal,Informal,False
Al Salam First Police Station,657.0,3414.0,1021.0,4470.0,4071.0,5491.0,POINT (347203.0636257715 3337511.790639154),0.16138540899042003,0.18594063012201784,0.16138540899042003,0.18594063012201784,Informal,Informal,False
Al Salam Hospital (Al Salam City),155.0,1098.0,159.0,1178.0,1253.0,1337.0,POINT (347839.94852381735 3338038.5105542913),0.12370311252992817,0.11892296185489903,0.12370311252992817,0.11892296185489903,Informal,Informal,False
Al Salam International Hospital,326.0,3138.0,1038.0,4494.0,3464.0,5532.0,POINT (329205.1443653824 3318448.863875147),0.09411085450346421,0.1876355748373102,0.09411085450346421,0.1876355748373102,Informal,Informal,False
Al Salam Mosque (Haram St.),577.0,3568.0,1033.0,6440.0,4145.0,7473.0,POINT (325064.56551782566 3320571.42757102),0.13920386007237637,0.13823096480663724,0.13920386007237637,0.13823096480663724,Informal,Informal,False
Al Salam Mosque (Nasr City),495.0,0.0,1067.0,0.0,495.0,1067.0,POINT (341547.188107746 3325114.410853219),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Salam Mosque (Wahat Rd.),0.0,142.0,0.0,230.0,142.0,230.0,POINT (310374.4311082576 3316477.1984231113),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Salam Tunnel Exit (Ring Rd.),74.0,231.0,74.0,231.0,305.0,305.0,POINT (348381.3012952368 3336277.9326191014),0.24262295081967214,0.24262295081967214,0.24262295081967214,0.24262295081967214,Informal,Informal,False
Al Salam Tunnel Ring Rd. Entrance,91.0,41.0,107.0,53.0,132.0,160.0,POINT (348385.5344356626 3336299.356314822),0.6893939393939394,0.66875,0.6893939393939394,0.66875,Formal,Formal,False
Al Saraya Elementary School (Abbaseya),1236.0,0.0,1376.0,0.0,1236.0,1376.0,POINT (334554.2191244544 3327525.623960467),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Saraya Mall (5th Settlement),36.0,0.0,92.0,0.0,36.0,92.0,POINT (348623.45634518913 3319413.7268121755),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sawah Square,812.0,0.0,1048.0,300.0,812.0,1348.0,POINT (334527.48864332086 3331979.419607554),1.0,0.7774480712166172,1.0,0.7774480712166172,Formal,Formal,False
Al Sawahel Canal St.,440.0,2074.1485639828206,488.0,3170.792483585033,2096.205889853304,3295.1610746131055,POINT (327662.5510544861 3328477.052496643),0.2099030453686932,0.14809594704176868,0.2099030453686932,0.14809594704176868,Informal,Informal,False
Al Sawalha Complex (Al Sekka Al Hadeed St.),2501.0,5634.0,4533.0,7346.0,8135.0,11879.0,POINT (333388.6012587602 3334339.6618749136),0.30743700061462814,0.3815977775907063,0.30743700061462814,0.3815977775907063,Informal,Informal,False
Al Sawy Culture Wheel,769.0,636.0,1981.0,644.0,1405.0,2625.0,POINT (328147.07316966564 3327026.8854441834),0.5473309608540925,0.7546666666666667,0.5473309608540925,0.7546666666666667,Formal,Formal,False
Al Sayeda Aisha,10946.0,17773.0,13827.21993481623,26657.0,28719.0,39579.914282377715,POINT (331834.95319349924 3323025.7622672906),0.3811414046450085,0.3493494158720946,0.3811414046450085,0.3493494158720946,Informal,Informal,False
Al Sayeda Khadija Mosque,616.0,0.0,940.0,0.0,616.0,940.0,POINT (341580.04512355704 3332971.8322546063),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sayeda Khadija Mosque - Al Hegaz Street,1412.0,0.0,2200.0,0.0,1412.0,2200.0,POINT (341549.99331018433 3332999.012509861),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sayeda Nafeesa,280.0,0.0,488.0,0.0,280.0,488.0,POINT (331375.55882588506 3322310.3519482054),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sayeda Safeya Mosque - Salah Salem,0.0,41.0,32.0,41.0,41.0,73.0,,0.0,0.4383561643835616,0.0,0.4383561643835616,Informal,Informal,False
Al Sayeda Zeinab,6453.0,669.0,10305.0,1057.0,7122.0,11362.0,POINT (330583.05659558356 3323636.6756094014),0.9060657118786858,0.9069706037669424,0.9060657118786858,0.9069706037669424,Formal,Formal,False
Al Sayeda Zeinab District Presidency,586.0,47.0,690.0,47.0,633.0,737.0,POINT (331061.7892459824 3323481.4903253666),0.9257503949447078,0.9362279511533242,0.9257503949447078,0.9362279511533242,Formal,Formal,False
Al Sekka (Ring Rd.),14.0,378.0,26.0,541.8772596192092,392.0,541.8772596192092,POINT (324922.7472280591 3328960.884577019),0.03571428571428571,0.047981345477148926,0.03571428571428571,0.047981345477148926,Informal,Informal,False
Al Sekka (Ring Road),0.0,201.0,72.0,745.0,201.0,817.0,,0.0,0.08812729498164015,0.0,0.08812729498164015,Informal,Informal,False
Al Sekka Al Hadid Sporting Club - Nasr City,1401.0,719.0,2957.0,1251.0,2120.0,4208.0,,0.6608490566037736,0.7027091254752852,0.6608490566037736,0.7027091254752852,Formal,Formal,False
Al Sekka Al Hadid Sporting Club (Nasr City),3584.0,1496.0,5608.0,2232.0,5080.0,7840.0,POINT (336345.0208882233 3326466.4930555844),0.705511811023622,0.7153061224489796,0.705511811023622,0.7153061224489796,Formal,Formal,False
Al Sewedy (Laylat Al Qadr),56.0,0.0,168.0,0.0,56.0,168.0,POINT (298011.65599377523 3314870.6209220253),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shaarawy (Arbean St.),1536.0,2276.0,3404.0,4428.0,3812.0,7832.0,POINT (337695.5674575597 3334978.001433352),0.40293809024134314,0.4346271705822268,0.40293809024134314,0.4346271705822268,Informal,Informal,False
Al Shaarawy St. (Shubra Al Kheima),695.0,1512.0,1283.0,2456.0,2207.0,3739.0,POINT (334079.11653256195 3334860.860533176),0.31490711372904395,0.3431398769724525,0.31490711372904395,0.3431398769724525,Informal,Informal,False
Al Shabab (Al Tagneed),375.0,0.0,811.0,0.0,375.0,811.0,POINT (317798.36487694853 3318537.052898917),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shabab Entrance (1st Settlement),1505.0,0.0,3053.0,0.0,1505.0,3053.0,POINT (350803.5453982045 3325605.845570955),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shabab Entrance (5th Settlement),99.0,0.0,207.0,0.0,99.0,207.0,POINT (347416.2568019268 3318342.360595627),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shabab Square (1st Settlement),657.0,0.0,1129.0,0.0,657.0,1129.0,POINT (351746.15225960524 3325654.891580778),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shaboory Canal,1321.0,915.0,2445.0,2123.0,2236.0,4568.0,POINT (334482.64051376865 3334705.1809222717),0.5907871198568873,0.535245183887916,0.5907871198568873,0.535245183887916,Formal,Formal,False
Al Shabrawy (1st Settlement),897.0,0.0,1785.0,0.0,897.0,1785.0,POINT (351690.7467053563 3326398.099913132),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shabrawy (Al Mansoreya Rd.),238.0,1162.0,362.0,2494.0,1400.0,2856.0,,0.17,0.12675070028011204,0.17,0.12675070028011204,Informal,Informal,False
Al Shaheed Axis,32.0,33.0,60.0,33.0,65.0,93.0,,0.49230769230769234,0.6451612903225806,0.49230769230769234,0.6451612903225806,Informal,Formal,True
Al Shaheed Axis Pedestrian Bridge,0.0,33.0,0.0,33.0,33.0,33.0,,0.0,0.0,0.0,0.0,Informal,Informal,False
Al Shaheed Corridor,0.0,1071.0,0.0,1903.0,1071.0,1903.0,POINT (340336.29546266416 3322464.2734282687),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Shaheed Mosque (Al Marg),309.0,0.0,453.0,0.0,309.0,453.0,POINT (339208.6422905779 3336949.916611693),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shaheed Square (Obour),78.0,172.0,142.0,172.0,250.0,314.0,POINT (352785.19865625387 3348404.034464839),0.312,0.45222929936305734,0.312,0.45222929936305734,Informal,Informal,False
Al Shari' Al Gadeed (Bahteem),2270.0,3036.0,3486.0,3524.0,5306.0,7010.0,POINT (333455.83500942227 3335079.109097661),0.42781756502073126,0.4972895863052782,0.42781756502073126,0.4972895863052782,Informal,Informal,False
Al Sheikh Agamy (Marg),0.0,264.0,0.0,412.0,264.0,412.0,POINT (341441.533434162 3341622.4125656453),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Sheikh Al Jadid St.,0.0,99.0,0.0,479.0,99.0,479.0,POINT (318789.21556336293 3323775.5597649273),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Sheikh Mansour,245.0,0.0,385.0,0.0,245.0,385.0,POINT (339313.0842893247 3336071.7865369623),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Sheikh Parking (Ahmed Helmy St.),351.0,1803.0,939.0,2339.0,2154.0,3278.0,POINT (331954.1037824865 3330495.2429957837),0.16295264623955433,0.28645515558267237,0.16295264623955433,0.28645515558267237,Informal,Informal,False
Al Shenawy St. & Sadat St.,0.0,7366.0,0.0,8554.0,7366.0,8554.0,POINT (346127.7327476686 3336386.8194714063),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Sherif Mosque (Manial),889.0,0.0,1325.0,0.0,889.0,1325.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shimy Car Center (Hadayeq Al Qobba),546.0,1420.0,1562.0,1644.0,1966.0,3206.0,POINT (335086.8455471933 3330390.7250053464),0.2777212614445575,0.487211478477854,0.2777212614445575,0.487211478477854,Informal,Informal,False
Al Shorouq,195.0,0.0,307.0,0.0,195.0,307.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shorouq Academy Entrance,102.0,0.0,294.0,336.0,102.0,630.0,POINT (366236.47828818206 3331612.2041061977),1.0,0.4666666666666667,1.0,0.4666666666666667,Formal,Informal,True
Al Shorouq City Authority Steps,65.0,0.0,321.0,0.0,65.0,321.0,POINT (365883.3588856944 3337105.7319022273),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shorouq Club (Nile Corniche),0.0,1517.0,24.0,1641.0,1517.0,1665.0,POINT (333017.5127608519 3314017.733323017),0.0,0.014414414414414415,0.0,0.014414414414414415,Informal,Informal,False
Al Shorouq Hospital ( 15th of May St.),2227.0,1805.0,3991.0,4477.0,4032.0,8468.0,POINT (333043.44014597766 3333193.5011333507),0.5523313492063492,0.4713037316957959,0.5523313492063492,0.4713037316957959,Formal,Informal,True
Al Shorouq Housing Complex Entrance,3566.0,659.0,5018.0,1299.0,4225.0,6317.0,,0.8440236686390532,0.7943644134874149,0.8440236686390532,0.7943644134874149,Formal,Formal,False
Al Shorouq School (Shorouq City),91.0,0.0,267.0,0.0,91.0,267.0,POINT (370166.17219105724 3337994.285931326),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Shorouq Water Station,91.0,0.0,395.0,0.0,91.0,395.0,POINT (367262.8760504676 3337490.9977135453),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Soltan Hassan Mosque,832.0,168.0,1480.0,196.0,1000.0,1676.0,POINT (331904.02170500555 3323544.0531345494),0.832,0.883054892601432,0.832,0.883054892601432,Formal,Formal,False
Al Souq (Al Moqattam),413.0,0.0,793.0,72.0,413.0,865.0,POINT (339200.7353371204 3321202.002613979),1.0,0.9167630057803469,1.0,0.9167630057803469,Formal,Formal,False
Al Taawon (Haram St),78.0,7379.0,318.0,15395.0,7457.0,15713.0,POINT (322986.3675690758 3319728.8198391716),0.01045997049751911,0.020238019474320627,0.01045997049751911,0.020238019474320627,Informal,Informal,False
Al Taawon Gas Station (Al Shabab St. Obour),0.0,86.0,0.0,86.0,86.0,86.0,POINT (351737.07541258156 3347240.477961018),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Tabba (Nasr City),3870.0,1309.0,6342.0,4669.0,5179.0,11011.0,POINT (343829.91114180663 3326363.273081723),0.7472485035721181,0.5759694850603941,0.7472485035721181,0.5759694850603941,Formal,Formal,False
Al Tadreeb Gate (Teraet Al Ismaili St),63.0,0.0,103.0,0.0,63.0,103.0,POINT (333299.2728378689 3332239.497818382),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Talateeny (Al Lebeny St.),26.0,932.0,26.0,1380.0,958.0,1406.0,POINT (321862.9461508428 3318302.710424899),0.027139874739039668,0.01849217638691323,0.027139874739039668,0.01849217638691323,Informal,Informal,False
Al Talbeya Steps (Ring Rd.),0.0,458.0,0.0,610.0,458.0,610.0,POINT (325250.2827428595 3318692.2819687356),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Tarek Al Abead & Rind Rd,0.0,0.0,0.0,267.4806622727285,0.0,271.5352406063672,,,0.0,,0.0,Informal,Informal,False
Al Tawba Mosque (Abu Al Nomros),0.0,49.0,0.0,345.0,49.0,345.0,POINT (331974.41460293054 3312231.8139071646),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Tawheed Mosque (1st Settlement),1139.0,0.0,1827.0,0.0,1139.0,1827.0,POINT (351724.8764937654 3326617.971350953),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Tawheed Mosque (Al Zaytoun),285.0,1080.0,381.0,3600.0,1365.0,3981.0,POINT (335290.5506737253 3331117.734320434),0.2087912087912088,0.09570459683496609,0.2087912087912088,0.09570459683496609,Informal,Informal,False
Al Tawheed Wal Nour - Al Waili,150.0,284.0,186.0,824.0,434.0,1010.0,POINT (335121.4207740963 3330483.4896430215),0.3456221198156682,0.18415841584158416,0.3456221198156682,0.18415841584158416,Informal,Informal,False
Al Tawheed Wal Nour (10th of Ramadan),0.0,472.0,0.0,544.0,472.0,544.0,POINT (379686.230815467 3350502.3754341765),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Tawheed Wal Nour (Abbas Al Akkad),357.0,0.0,621.0,0.0,357.0,621.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Al Tawheed Wal Nour (Al Geish St.),272.0,0.0,556.0,0.0,272.0,556.0,POINT (332711.214738603 3326775.3208232983),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Tawheed Wal Nour (Al Hossary),28.0,186.0,60.0,186.0,214.0,246.0,POINT (301158.8959466895 3317112.806164418),0.1308411214953271,0.24390243902439024,0.1308411214953271,0.24390243902439024,Informal,Informal,False
Al Tawheed Wal Nour (Al Nozha St.),368.0,0.0,656.0,0.0,368.0,656.0,POINT (340126.38050788647 3329984.6770591494),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Tawheed Wal Nour (Al Nozha St),299.0,466.0,375.0,522.0,765.0,897.0,POINT (340170.1117828735 3329948.430648744),0.3908496732026144,0.4180602006688963,0.3908496732026144,0.4180602006688963,Informal,Informal,False
Al Tawheed Wal Nour (Al Sayeda Zeinab),3604.0,877.0,5912.0,1989.0,4481.0,7901.0,POINT (331069.50805561687 3324052.9698425457),0.8042847578665476,0.7482597139602581,0.8042847578665476,0.7482597139602581,Formal,Formal,False
Al Tawheed Wal Nour (Autostrad Maadi),0.0,1303.0,0.0,2799.0,1303.0,2799.0,POINT (334752.4312310085 3315775.639358759),0.0,0.0,0.0,0.0,Informal,Informal,False
Al Tawheed Wal Nour (Faisal St.),0.0,95.0,400.0,95.0,95.0,495.0,POINT (320889.73376961204 3319404.1043887516),0.0,0.8080808080808081,0.0,0.8080808080808081,Informal,Formal,True
Al Tawheed Wal Nour (Merryland),1239.0,345.0,2315.0,385.0,1584.0,2700.0,POINT (338562.9073055801 3331135.4780021617),0.7821969696969697,0.8574074074074074,0.7821969696969697,0.8574074074074074,Formal,Formal,False
Al Tawheed Wal Nour (Mostafa Al Nahas),2137.0,0.0,3913.0,0.0,2137.0,3913.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
