Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
8th District (Shorouq City),65.0,0.0,321.0,0.0,65.0,321.0,POINT (365705.9921143822 3337762.391171253),1.0,1.0,1.0,1.0,Formal,Formal,False
Aba Al Kassem Mosque (Autostrad),0.0,238.0,0.0,422.0,238.0,422.0,POINT (334766.9470261298 3312589.1626390778),0.0,0.0,0.0,0.0,Informal,Informal,False
Abageyya Bridge,102.0,0.0,410.0,0.0,102.0,410.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Abbas Al Akkad & Mostafa Al Nahas,379.0,0.0,847.0,0.0,379.0,847.0,,1.0,1.0,1.0,1.0,Formal,Formal,False
Abbaseya,9393.0,5608.0,13921.0,9092.0,15001.0,23013.0,POINT (334708.14213740785 3328134.2365397993),0.626158256116259,0.604918958849346,0.626158256116259,0.604918958849346,Formal,Formal,False
Abbaseya Bridge Entrance,3859.0,953.0,5175.0,2465.0,4812.0,7640.0,POINT (335145.33212300076 3327804.4436203386),0.8019534497090607,0.6773560209424084,0.8019534497090607,0.6773560209424084,Formal,Formal,False
Abbaseya Bridge Exit,434.0,207.0,1322.0,311.0,641.0,1633.0,POINT (334581.2611885346 3328377.9515734212),0.6770670826833073,0.8095529699938763,0.6770670826833073,0.8095529699938763,Formal,Formal,False
Abbaseya Hospital,679.0,564.0,1147.0,600.0,1243.0,1747.0,POINT (335629.82415799226 3327876.0037027537),0.5462590506838294,0.656554092730395,0.5462590506838294,0.656554092730395,Formal,Formal,False
Abbaseya Square,6379.0,7286.0,9527.0,10546.0,13665.0,20073.0,POINT (334739.54005609447 3328212.24604341),0.4668130259787779,0.47461764559358344,0.4668130259787779,0.47461764559358344,Informal,Informal,False
Abbaseya Station,0.0,0.0,912.0,0.0,0.0,912.0,,,1.0,,1.0,Informal,Formal,True
Abboud,3811.0,12458.0,6191.0,20734.0,16269.0,26925.0,POINT (331753.67674587213 3331830.5954406494),0.23424918556764399,0.22993500464252553,0.23424918556764399,0.22993500464252553,Informal,Informal,False
Abd Al Moneim Riad,22748.0,13245.0,39392.0,22213.0,35993.0,61605.0,POINT (329535.8411412995 3325586.985621468),0.6320117800683466,0.6394286178069962,0.6320117800683466,0.6394286178069962,Formal,Formal,False
Abd El Aziz St. (Ataba),9665.0,3856.0,18313.0,5144.0,13521.0,23457.0,POINT (331310.8896282574 3325552.558965418),0.7148139930478515,0.780705120006821,0.7148139930478515,0.780705120006821,Formal,Formal,False
Abdeen,691.0,0.0,1199.0,0.0,691.0,1199.0,POINT (330847.4706962771 3324641.7460518116),1.0,1.0,1.0,1.0,Formal,Formal,False
Abdel Menaam Reyad Mosque (Nile Corniche),0.0,34.0,0.0,834.0,34.0,834.0,,0.0,0.0,0.0,0.0,Informal,Informal,False
Abdo Basha,3525.0,0.0,3817.534434846611,0.0,3525.0,4068.526614174888,POINT (333887.0388579598 3327283.7959694667),1.0,0.93830882697097,1.0,0.93830882697097,Formal,Formal,False
Abdullah Al Othaym (Nile Corniche),13.0,0.0,25.0,360.0,13.0,385.0,POINT (334797.39834403165 3306994.759787104),1.0,0.06493506493506493,1.0,0.06493506493506493,Formal,Informal,True
Abo Senna Steps,104.0,776.0,352.0,1872.0,880.0,2224.0,POINT (329446.65579539817 3337301.3297292697),0.11818181818181818,0.15827338129496402,0.11818181818181818,0.15827338129496402,Informal,Informal,False
Abo Sir Steps (Ring Rd.),44.0,0.0,172.0,0.0,44.0,172.0,POINT (344813.7328236626 3338123.676472041),1.0,1.0,1.0,1.0,Formal,Formal,False
Abou Al Majd Center (Mostorod),222.0,120.0,622.0,256.0,342.0,878.0,POINT (335067.3111011524 3334063.047526138),0.6491228070175439,0.7084282460136674,0.6491228070175439,0.7084282460136674,Formal,Formal,False
Abou Al Reesh,2844.0,437.0,5348.0,769.0,3281.0,6117.0,POINT (329996.25764357584 3323244.4907575785),0.8668088997256934,0.8742847801209743,0.8668088997256934,0.8742847801209743,Formal,Formal,False
Abou Wafya,728.0,1578.0,1104.0,2166.0,2306.0,3270.0,POINT (331932.60260945995 3330856.760598425),0.31569817866435385,0.3376146788990826,0.31569817866435385,0.3376146788990826,Informal,Informal,False
Abou Wafya Bridge,483.0,0.0,875.0,0.0,483.0,875.0,POINT (332900.5136438771 3330652.229585566),1.0,1.0,1.0,1.0,Formal,Formal,False
