Stop_Name,Daily_All_BA,Morning_All_BA,routes_cta_evening,routes_cta_morning,routes_p_o_14_evening,routes_p_o_14_morning,routes_cta_m_evening,routes_cta_m_morning,routes_coop_evening,routes_coop_morning,routes_p_b_8_morning,routes_p_b_8_evening,Total_Routes_At_Stop
Kit Kat Square,14156.0,9204.0,17,17,4,4,7,7,0,0,0,0,56
Kobry Al Qobba,12720.0,6572.0,19,19,11,11,36,36,0,0,0,0,132
Kobry Orabi,37004.0,23072.0,21,21,3,3,5,5,1,1,0,0,60
Koleyet Al Banat (Azhar University),912.0,696.0,13,13,0,0,8,8,0,0,0,0,42
Konayyesa (Moneeb),2682.0,2094.0,1,1,6,6,0,0,0,0,0,0,14
Korba District,9793.0,6801.0,3,3,2,2,13,13,0,0,0,0,36
Koshary Abu Hanafy (Al Moqattam),906.0,298.0,4,4,0,0,0,0,0,0,0,0,8
Koshary Al Tahrir (Nasr St.),956.0,524.0,0,0,1,1,0,0,0,0,0,0,2
Koshary Aladin (Shobra),3914.0,1922.0,30,30,0,0,7,7,0,0,0,0,74
Koshary Hend ( Masaken Al Wehda),2385.0,961.0,5,5,0,0,0,0,0,0,0,0,10
Language Institute (Al Qobba),2932.0,1516.0,7,7,0,0,8,8,0,0,0,0,30
Laylat Al Qadr Station,811.0,443.0,2,2,0,0,0,0,0,0,1,0,5
Leather and Tanning Company (Autostrad),386.0,298.0,10,10,9,9,0,0,0,0,0,0,38
Lebanon Square,260.0,148.0,1,1,0,4,0,0,0,0,0,0,6
Lebanon Square (Medan Lebnan),680.0,0.0,0,0,3,0,0,0,0,0,0,0,3
Lebanon Square Station,8505.0,4073.0,8,8,9,9,1,1,0,0,0,0,36
Libya St,782.0,422.0,4,4,0,0,0,0,0,0,0,0,8
Lotfy Al Sayed St & Masr Wal Sudan St,4601.0,1565.0,18,18,7,7,26,26,0,0,0,0,102
Lux School (Al Marg),1169.0,569.0,0,0,0,0,3,3,0,0,0,0,6
Maadi Corniche Exit to Ring Rd.,289.0,265.0,1,0,0,10,0,0,0,0,0,0,11
Maadi Metro Station,2858.0,1610.0,0,0,2,2,0,0,0,0,0,0,4
Maadi Military Hospital,3111.0,1823.0,5,5,9,9,4,4,0,0,0,0,36
Maasara Autostrad,1014.0,546.0,0,0,7,7,0,0,0,0,0,0,14
Macdonald's (Mergheny St.),1292.0,712.0,2,2,7,0,7,7,0,0,0,0,25
Madbah ( Magra Al Oyoun),1385.0,841.0,19,19,1,0,7,7,0,0,0,0,53
Madbah Steps (Ring Rd.),471.0,407.0,2,2,0,5,0,0,0,0,0,0,9
Madinat Al Bo'oth Al Eslamyya,172.0,124.0,5,5,0,0,0,0,0,0,0,0,10
Madinat Al Talaba,3963.134190786282,3397.0,4,4,3,3,3,3,1,1,0,0,22
Magda Square,1068.0,560.0,4,4,2,2,0,0,0,0,2,0,14
Magra Al Oyoun (Salah Salem),33269.0,16553.0,18,18,5,5,8,8,0,0,0,0,62
Mahmoudeya Housing (Al Moqattam),174.0,54.0,2,2,0,0,0,0,0,0,0,0,4
Mahmoudeya Station,5985.0,2545.0,2,2,1,1,1,1,0,0,1,1,10
Makram Ebeid and Mostafa Al Nahas,1614.0,1106.0,0,0,0,1,6,6,0,0,0,0,13
Mall of Arabia,1092.0,640.0,4,4,5,5,0,0,0,0,0,0,18
Mall of Egypt,600.0,224.0,0,0,5,5,0,0,0,0,0,0,10
Manial Shiha Elementary School,1670.0,1034.0,0,0,3,3,0,0,1,1,0,0,8
Manial Shiha Post Office,2570.0,1914.0,0,0,4,4,0,0,0,1,0,0,9
Manshiyat Al Bakri Steps (Ring Rd.),161.0,9.0,0,0,7,0,0,0,0,1,0,0,8
Manshiyat Al Bakry General Hospital,296.0,208.0,0,0,1,1,2,2,0,0,0,0,6
Manshiyat Al Gamal,2540.0,1384.0,1,1,0,0,7,7,0,0,0,0,16
Manshiyat Nasser,6934.0,4238.0,5,5,10,10,4,4,0,0,0,0,38
Manshiyat Nasser Bus Station - North,3320.0,1076.0,5,5,9,9,4,4,0,0,1,1,38
Marioteya Rd. & Faisal St.,3174.0,2010.0,0,0,4,4,1,1,0,0,0,0,10
Marioteya Tunnel Entrance,2990.0,1754.0,0,0,4,4,0,0,0,0,0,0,8
Marioteya Tunnel Exit,9800.0,6480.0,0,0,4,4,0,0,0,0,0,0,8
Marioteyya,269.0,185.0,0,0,7,7,0,0,0,0,0,0,14
Markaz Al Nakheel (6th of October),1450.0,658.0,0,2,0,0,0,0,0,0,1,1,4
Maryam Pharmacy ( Faisal St.),3705.0,1185.0,0,0,1,1,3,3,0,0,0,0,8
Masaken Ain Shams,15152.0,7748.0,3,3,5,5,4,4,0,0,0,0,24
Masaken Ain Shams Station,5063.0,3343.0,2,2,0,0,3,3,0,0,0,0,10
Masaken Al Abd (Al Salam),873.0,521.0,4,4,1,0,0,0,0,0,0,0,9
Masaken Al Kendy,2701.0,2165.0,9,9,6,6,0,0,0,0,1,0,31
Masaken Al Shrouq,1844.0,868.0,0,0,0,0,3,3,0,0,0,0,6
Masaken Al Wadi Al Qadeem (Al Salam),475.0,255.0,5,5,0,0,0,0,0,0,0,0,10
Masaken Al Wehda,595.0,403.0,1,1,0,0,0,0,0,0,0,0,2
Masaken Almaza,2066.0,1106.0,2,2,2,2,2,2,0,0,0,0,12
Masaken Betcho Bus Station,2225.0,1025.0,1,1,0,0,1,1,0,0,1,1,6
Masaken Helmeyet Al Zatoun,69.0,69.0,0,0,0,1,0,0,0,0,0,0,1
Masaken Isbiko St.,317.0,117.0,5,5,1,0,0,0,0,0,0,0,11
Masaken Sheraton,884.0,828.0,0,0,0,0,2,2,0,0,0,0,4
Masaken Zainhom Station,4103.0,2999.0,6,6,0,0,5,5,0,0,0,0,22
Mashyakhet Al Azhar Al Sharif,3743.0,2507.0,4,4,1,1,4,4,0,0,0,0,18
Maspero Exit (15th of May Bridge),2824.0,1792.0,8,8,8,8,12,12,0,0,0,0,56
Masraweya,783.0,415.0,3,3,0,0,0,0,0,0,0,0,6
Massalah Gadeeda (Al Matareyya),1333.0,781.0,0,0,0,0,4,4,0,1,0,0,9
Mastoura Mosque (Al Moqattam),808.0,520.0,0,0,1,1,0,0,0,0,0,0,2
Matbaa Station,24366.0,14562.0,5,5,4,4,3,3,0,0,0,0,24
Mazallat,5514.0,3446.0,24,24,6,6,5,5,0,0,0,0,70
Mazallat Station,1915.0,639.0,15,15,0,0,6,6,0,0,0,0,42
Mazar Mall,111.0,15.0,1,1,0,0,0,0,0,0,0,0,2
Mazlaqan Ain Shams,3696.0,1916.0,3,3,3,3,7,7,0,0,0,1,27
Mazlaqan Al Deweqa,4125.0,2041.0,9,9,8,8,4,4,0,0,0,0,42
Mazlaqan Om Khinan (Al Hawamdeyya),910.0,522.0,0,0,3,3,0,0,0,0,0,0,6
MCS Oil (Zahraa Al Maadi ),1687.0,759.0,0,0,0,0,1,1,0,0,0,0,2
MCS Oil (Zahraa Al Maadi),117.0,69.0,0,0,0,0,1,1,0,0,0,0,2
Mechanical Kharaata Workshop,443.0,151.0,0,0,0,0,3,3,0,0,0,0,6
Metro (Misr Helwan Rd.),235.61364227398383,118.0,1,2,0,0,1,1,0,0,0,0,5
Mffco Helwan (Helwan Corniche),648.0,408.0,1,1,2,2,0,0,0,0,0,0,6
Military Academy Stadium (Sheraton),2398.0,1446.0,11,11,3,3,10,10,0,0,0,0,48
Ministry of Agriculture (Dokki),2511.0,1731.0,0,0,2,2,2,2,1,1,0,0,10
Ministry Of Higher Education,1719.0,1067.0,4,4,0,0,1,1,0,0,0,0,10
Ministry of Irrigation (Warraq),6275.0,2459.0,2,2,4,4,3,3,1,1,0,0,20
Ministry Of Youth And Sports,5015.0,1979.0,4,4,5,5,0,0,0,0,0,0,18
Misr 2000,948.0,948.0,0,0,0,1,0,0,0,0,0,0,1
Misr Al Gadida Military Hospital,2151.0,1699.0,6,6,5,5,2,2,0,0,0,0,26
Misr Al Qadima Police Department,197.0,161.0,0,1,1,0,0,0,0,0,0,0,2
Misr Al Qadimah,48.0,48.0,0,5,0,0,0,0,0,0,0,0,5
Misr Al Qadmina Post Office,931.0,799.0,8,8,9,9,0,0,0,0,0,0,34
Misr Al Wosta Electricity Company (Al Bahr Al Aazam St.),183.0,55.0,1,0,6,6,0,0,0,0,0,0,13
Misr El Qadima District Presidency,1698.0,886.0,2,2,3,3,0,1,0,0,0,0,11
Misr El Qadima Police Department,184.0,164.0,0,0,0,2,1,0,0,0,0,0,3
Misr Gas Station (Giza Square),12125.0,6305.0,0,0,2,2,3,3,0,0,0,0,10
Misr Petroleum - Masaken Al Wehda,522.0,186.0,1,1,0,0,0,0,0,0,0,0,2
Misr Petroleum (Port Said St.),1004.0,648.0,5,5,0,0,4,4,0,0,0,0,18
Misr Petroleum Gas Station (Badrasheen),552.0,264.0,0,0,1,1,0,0,0,0,0,0,2
Misr Public Library (Port Said St.),2042.0,934.0,5,5,0,0,4,4,0,0,0,0,18
Misr Sudan (7th District Nasr City),1072.0,592.0,6,6,1,0,8,8,0,0,0,0,29
Misr University for Sciences and Technology (MUST),125.0,93.0,4,0,0,4,0,0,0,0,0,0,8
Mit Halfa - Cairo Alexandria Agriculture Road,706.0,226.0,3,3,1,1,0,0,0,0,0,0,8
Mit Halfa ( Cairo Alexandria Agriculture Rd. ),1643.0,1135.0,3,3,1,0,0,0,1,1,0,0,9
Mit Nama Steps (Cairo Alexandria Agriculture Rd.),399.0,123.0,7,7,7,7,0,0,0,0,0,0,28
MIU (Obour),712.0,184.0,1,0,2,2,0,0,0,0,0,0,5
Moasasset Al Zakah,208.0,208.0,0,1,0,0,0,0,0,0,0,0,1
Moassasa,20661.0,10277.0,8,8,10,10,0,0,1,1,0,0,38
Moassasa Pedestrian Bridge,455.0,271.0,7,7,7,0,0,0,2,2,0,0,25
Mobil - Mall of Arabia,188.0,0.0,4,0,5,0,0,0,0,0,0,0,9
Mobil (Ahmed Esmat St.),756.0,476.0,0,0,0,1,0,0,0,0,1,1,3
Mobil (Al Khalafawy),1957.0,1337.0,7,7,8,8,0,0,0,0,0,0,30
Mobil (Hassan Al Sherif & Nasr City),856.0,724.0,0,0,0,0,6,6,0,0,0,0,12
Mobil (Mostafa Kamel Axis & 1st Settlement),899.0,591.0,1,1,1,1,0,0,0,0,0,0,4
Mobil (Nile Corniche Maasara),324.0,140.0,1,0,4,4,0,0,0,0,0,0,9
Mobil Gas Station (Abdel Hameed Badawy St.),2075.0,1131.0,1,1,0,0,9,9,0,0,0,0,20
Mobil Gas Station (Salah Salem St),245.0,49.0,0,0,3,3,0,0,0,0,0,0,6
Mobil North 90,791.0,711.0,0,0,1,1,0,0,0,0,0,0,2
Modern School (Ahmed Esmat St.),644.0,644.0,0,0,0,1,0,0,0,0,0,0,1
Moemen (Nasr St.),2068.0,1684.0,0,0,1,1,0,0,0,0,0,0,2
Mohagreen (Ezbet Al Nakhl),6941.0,3741.0,1,1,2,2,0,0,0,0,2,2,10
Mohamed Farid St. & Al Mathan St.,1670.0,802.0,5,5,2,2,0,0,0,0,0,0,14
Mohamed Naguib Metro Station,4433.0,2381.0,19,19,0,0,6,6,0,0,0,0,50
Mohamedan Light Hospital (Ain Shams),1312.0,1032.0,0,0,0,1,3,3,3,3,0,0,13
Mohammed Farid Post Office,210.0,210.0,0,0,0,0,0,1,0,0,0,0,1
Mohie Al Deen Aboul Ezz St. & Tahrir St.,1481.0,785.0,11,11,0,0,0,0,0,0,0,0,22
Mokattam Entrance - Al Gamea Al Haditha St,431.0,183.0,4,4,0,0,0,0,0,0,0,0,8
Mokattam Entrance from Al Gamea Al Haditha St.,92.0,36.0,4,4,0,0,0,0,0,0,0,0,8
Moneeb,40305.0,24573.0,13,13,13,13,0,0,1,0,0,0,53
