Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
244,244,222173,883e62800bfffff,5912,3078,2834,830,4.0,"MULTIPOLYGON (((326548.9794950158 3336841.556483508, 327124.3905267515 3336879.532978538, 327446.7467918299 3336398.8093356914, 327193.7037729566 3335880.1016217265, 326618.29307321995 3335842.110536821, 326295.92408920533 3336322.8417704925, 326548.9794950158 3336841.556483508)))"
245,245,4454,883e628011fffff,9295,4778,4517,1496,0.1,"MULTIPOLYGON (((328344.48302671715 3335956.079756793, 328919.8496876595 3335994.067944058, 329242.1872559694 3335513.3688280135, 328989.1689198863 3334994.673988948, 328413.8007027599 3334956.672385612, 328091.4523701755 3335437.3790369285, 328344.48302671715 3335956.079756793)))"
246,246,13271,883e628013fffff,18567,9592,8974,11789,0.2,"MULTIPOLYGON (((329242.1872559694 3335513.3688280135, 329817.53174296 3335551.362279146, 330139.85946449754 3335070.6753986026, 329886.85345872014 3334551.9886521394, 329311.50837236457 3334513.980679145, 328989.1689198863 3334994.673988948, 329242.1872559694 3335513.3688280135)))"
247,247,1558941,883e628015fffff,8465,4356,4109,793,27.9,"MULTIPOLYGON (((327516.0629185231 3335399.3826835263, 328091.4523701755 3335437.3790369285, 328413.8007027599 3334956.672385612, 328160.77325295744 3334437.96179668, 327585.38322107884 3334399.951997155, 327263.02217486897 3334880.6662171795, 327516.0629185231 3335399.3826835263)))"
248,248,865186,883e628019fffff,8780,4552,4228,1492,15.5,"MULTIPOLYGON (((328275.16853330575 3336955.4831052097, 328850.5355243307 3336993.4567353725, 329172.8702458987 3336512.752934834, 328919.8496876595 3335994.067944058, 328344.48302671715 3335956.079756793, 328022.13562279823 3336436.791131991, 328275.16853330575 3336955.4831052097)))"
249,249,2443843,883e62801bfffff,21124,11032,10092,4336,43.7,"MULTIPOLYGON (((329172.8702458987 3336512.752934834, 329748.2150908415 3336550.7329549305, 330070.53999072395 3336070.041400781, 329817.53174296 3335551.362279146, 329242.1872559694 3335513.3688280135, 328919.8496876595 3335994.067944058, 329172.8702458987 3336512.752934834)))"
250,250,887014,883e62801dfffff,8886,4572,4314,1422,15.9,"MULTIPOLYGON (((327446.7467918299 3336398.8093356914, 328022.13562279823 3336436.791131991, 328344.48302671715 3335956.079756793, 328091.4523701755 3335437.3790369285, 327516.0629185231 3335399.3826835263, 327193.7037729566 3335880.1016217265, 327446.7467918299 3336398.8093356914)))"
251,251,3031,883e628029fffff,8188,4240,3947,1418,0.1,"MULTIPOLYGON (((324063.416629889 3335171.385323367, 324638.89430288144 3335209.387491187, 324961.2868658686 3334728.6410961268, 324708.2126256311 3334209.886070824, 324132.7353401296 3334171.870376262, 323810.33093604736 3334652.6232486386, 324063.416629889 3335171.385323367)))"
252,252,315,883e62802bfffff,4674,2406,2268,17,0.0,"MULTIPOLYGON (((324961.2868658686 3334728.6410961268, 325536.7422658938 3334766.648568335, 325859.12498001405 3334285.91560248, 325606.0640781544 3333767.1664825645, 325030.6081126805 3333729.1455166023, 324708.2126256311 3334209.886070824, 324961.2868658686 3334728.6410961268)))"
253,253,1327141,883e628031fffff,7324,3773,3550,728,23.7,"MULTIPOLYGON (((326756.93190297484 3333843.2065680893, 327332.3447419227 3333881.225671041, 327654.70768959075 3333400.5172759313, 327401.671499038 3332881.7821994154, 326826.25907919015 3332843.7496227636, 326503.8833865344 3333324.465580727, 326756.93190297484 3333843.2065680893)))"
254,254,423590,883e628033fffff,8980,4628,4351,556,7.6,"MULTIPOLYGON (((327654.70768959075 3333400.5172759313, 328230.0982959068 3333438.5416273433, 328552.45230718877 3332957.8454671083, 328299.42747177905 3332439.1174198985, 327724.03727779223 3332401.078504117, 327401.671499038 3332881.7821994154, 327654.70768959075 3333400.5172759313)))"
255,255,499935,883e628035fffff,7337,3780,3556,645,8.9,"MULTIPOLYGON (((325928.44871003204 3333286.4382535573, 326503.8833865344 3333324.465580727, 326826.25907919015 3332843.7496227636, 326573.2128551848 3332324.998770866, 325997.77762929094 3332286.956861735, 325675.39013259613 3332767.680370772, 325928.44871003204 3333286.4382535573)))"
256,256,1031161,883e628037fffff,11809,6081,5727,1773,18.4,"MULTIPOLYGON (((326826.25907919015 3332843.7496227636, 327401.671499038 3332881.7821994154, 327724.03727779223 3332401.078504117, 327471.0033825741 3331882.334678171, 326895.5904239763 3331844.2875371836, 326573.2128551848 3332324.998770866, 326826.25907919015 3332843.7496227636)))"
257,257,713293,883e62803dfffff,5065,2608,2457,96,12.8,"MULTIPOLYGON (((325859.12498001405 3334285.91560248, 326434.5590839881 3334323.9283451317, 326756.93190297484 3333843.2065680893, 326503.8833865344 3333324.465580727, 325928.44871003204 3333286.4382535573, 325606.0640781544 3333767.1664825645, 325859.12498001405 3334285.91560248)))"
258,258,1248,883e628041fffff,5883,3075,2808,636,0.0,"MULTIPOLYGON (((324684.04861764784 3338726.5853481153, 325259.503415523 3338764.536572043, 325581.8753682383 3338283.7824717895, 325328.8062340656 3337765.070614647, 324753.3507780821 3337727.105886633, 324430.96606967726 3338207.8665040797, 324684.04861764784 3338726.5853481153)))"
259,259,296767,883e628043fffff,5009,2624,2385,702,5.3,"MULTIPOLYGON (((325581.8753682383 3338283.7824717895, 326157.30794908863 3338321.7390519716, 326479.67110548477 3337840.9983856482, 326226.6143798325 3337322.2924174713, 325651.18115144304 3337284.322350772, 325328.8062340656 3337765.070614647, 325581.8753682383 3338283.7824717895)))"
260,260,1285,883e628047fffff,5009,2624,2385,473,0.0,"MULTIPOLYGON (((324753.3507780821 3337727.105886633, 325328.8062340656 3337765.070614647, 325651.18115144304 3337284.322350772, 325398.1133341069 3336765.6006337553, 324822.6581887237 3336727.6212805095, 324500.2714877924 3337208.3771452894, 324753.3507780821 3337727.105886633)))"
261,261,1784,883e628049fffff,8100,4218,3882,814,0.0,"MULTIPOLYGON (((324614.75077175035 3339726.0607893425, 325190.2048707379 3339763.997398198, 325512.57482303923 3339283.2385530258, 325259.503415523 3338764.536572043, 324684.04861764784 3338726.5853481153, 324361.6668813565 3339207.3507044096, 324614.75077175035 3339726.0607893425)))"
262,262,1619,883e62804dfffff,6434,3358,3075,615,0.0,"MULTIPOLYGON (((323786.1898707022 3339169.405963863, 324361.6668813565 3339207.3507044096, 324684.04861764784 3338726.5853481153, 324430.96606967726 3338207.8665040797, 323855.4893357522 3338169.9071180318, 323533.09581055405 3338650.6800971995, 323786.1898707022 3339169.405963863)))"
263,263,2745,883e628053fffff,3450,1810,1640,481,0.0,"MULTIPOLYGON (((328205.8591589948 3337954.8824013937, 328781.22551093035 3337992.842595274, 329103.55735205294 3337512.133000252, 328850.5355243307 3336993.4567353725, 328275.16853330575 3336955.4831052097, 327952.82401862147 3337436.2002841667, 328205.8591589948 3337954.8824013937)))"
264,264,432796,883e628055fffff,5010,2625,2385,603,7.7,"MULTIPOLYGON (((326479.67110548477 3337840.9983856482, 327055.08244590124 3337878.9602882266, 327377.43581411097 3337398.2319391496, 327124.3905267515 3336879.532978538, 326548.9794950158 3336841.556483508, 326226.6143798325 3337322.2924174713, 326479.67110548477 3337840.9983856482)))"
265,265,5157,883e628059fffff,5919,3061,2857,1930,0.1,"MULTIPOLYGON (((327238.82740067877 3339397.063924346, 327814.2152286246 3339435.004235549, 328136.55395036505 3338954.277661041, 327883.51753257145 3338435.604277318, 327308.129031898 3338397.6505096676, 326985.7776139073 3338878.3835817706, 327238.82740067877 3339397.063924346)))"
266,266,4689,883e62805bfffff,5820,3011,2808,1364,0.1,"MULTIPOLYGON (((328136.55395036505 3338954.277661041, 328711.92058585904 3338992.223292628, 329034.2495474314 3338511.50900991, 328781.22551093035 3337992.842595274, 328205.8591589948 3337954.8824013937, 327883.51753257145 3338435.604277318, 328136.55395036505 3338954.277661041)))"
267,267,1963,883e628065fffff,1201,624,576,222,0.0,"MULTIPOLYGON (((322267.5826383283 3336056.9278847254, 322843.1039164775 3336094.91829486, 323165.51523338724 3335614.1483111023, 322912.41709785943 3335095.3791973586, 322336.8952048063 3335057.3741322625, 322014.47205443017 3335538.1528354073, 322267.5826383283 3336056.9278847254)))"
268,268,4855,883e628067fffff,9910,5139,4770,2411,0.1,"MULTIPOLYGON (((323165.51523338724 3335614.1483111023, 323741.0151750046 3335652.1440474647, 324063.416629889 3335171.385323367, 323810.33093604736 3334652.6232486386, 323234.8303900298 3334614.612874934, 322912.41709785943 3335095.3791973586, 323165.51523338724 3335614.1483111023)))"
269,269,733992,883e628081fffff,46525,24181,22344,21299,13.1,"MULTIPOLYGON (((332004.4400491124 3333186.0124178985, 332579.71964281704 3333224.037111227, 332902.0205207468 3332743.393651488, 332649.054424483 3332224.716884581, 332073.7742864201 3332186.677724737, 331751.4607812291 3332667.3297978966, 332004.4400491124 3333186.0124178985)))"
270,270,2084643,883e628083fffff,29221,15119,14102,8590,37.3,"MULTIPOLYGON (((332902.0205207468 3332743.393651488, 333477.2779835135 3332781.423516383, 333799.5699083277 3332300.792172149, 333546.6160124563 3331782.1223764764, 332971.35799915786 3331744.076954275, 332649.054424483 3332224.716884581, 332902.0205207468 3332743.393651488)))"
271,271,1338587,883e628085fffff,26722,13734,12987,29813,23.9,"MULTIPOLYGON (((331176.1594687768 3332629.2969043353, 331751.4607812291 3332667.3297978966, 332073.7742864201 3332186.677724737, 331820.79721081146 3331667.985278566, 331245.4953664872 3331629.9379034946, 330923.17015819484 3332110.597470394, 331176.1594687768 3332629.2969043353)))"
272,272,1750505,883e628087fffff,45273,23106,22167,6217,31.3,"MULTIPOLYGON (((332073.7742864201 3332186.677724737, 332649.054424483 3332224.716884581, 332971.35799915786 3331744.076954275, 332718.39313396206 3331225.391490915, 332143.1124915031 3331187.338975522, 331820.79721081146 3331667.985278566, 332073.7742864201 3332186.677724737)))"
273,273,1596149,883e628089fffff,49431,25624,23807,22382,28.6,"MULTIPOLYGON (((331935.1107698779 3334185.3441492873, 332510.3897960421 3334223.354373536, 332832.6879271566 3333742.705166062, 332579.71964281704 3333224.037111227, 332004.4400491124 3333186.0124178985, 331682.1292825689 3333666.6691397075, 331935.1107698779 3334185.3441492873)))"
274,274,1886108,883e62808bfffff,40339,21098,19241,18921,33.7,"MULTIPOLYGON (((332832.6879271566 3333742.705166062, 333407.9458133861 3333780.7216731966, 333730.23501649516 3333300.084592112, 333477.2779835135 3332781.423516383, 332902.0205207468 3332743.393651488, 332579.71964281704 3333224.037111227, 332832.6879271566 3333742.705166062)))"
275,275,1650748,883e62808dfffff,43444,22411,21032,29179,29.5,"MULTIPOLYGON (((331106.82756153645 3333628.650745018, 331682.1292825689 3333666.6691397075, 332004.4400491124 3333186.0124178985, 331751.4607812291 3332667.3297978966, 331176.1594687768 3332629.2969043353, 330853.8360442197 3333109.961143969, 331106.82756153645 3333628.650745018)))"
276,276,1365672,883e628091fffff,36520,18847,17672,4224,24.4,"MULTIPOLYGON (((334627.7491327529 3332857.4813206745, 335202.9628352978 3332895.5092586013, 335525.2322384884 3332414.8974970407, 335272.3005250894 3331896.2503209603, 334697.087250613 3331858.207952253, 334374.8052536205 3332338.8271899563, 334627.7491327529 3332857.4813206745)))"
277,277,1714800,883e628093fffff,26052,13366,12686,10250,30.7,"MULTIPOLYGON (((335525.2322384884 3332414.8974970407, 336100.4238608718 3332452.930568154, 336422.6843025924 3331972.3308624043, 336169.76473035314 3331453.6906360025, 335594.5725830326 3331415.6431661425, 335272.3005250894 3331896.2503209603, 335525.2322384884 3332414.8974970407)))"
278,278,1659351,883e628095fffff,43613,22133,21480,5484,29.7,"MULTIPOLYGON (((333799.5699083277 3332300.792172149, 334374.8052536205 3332338.8271899563, 334697.087250613 3331858.207952253, 334444.14553050906 3331339.5451228726, 333868.90964542364 3331301.494565375, 333546.6160124563 3331782.1223764764, 333799.5699083277 3332300.792172149)))"
279,279,1089829,883e628097fffff,70853,35803,35049,10991,19.5,"MULTIPOLYGON (((334697.087250613 3331858.207952253, 335272.3005250894 3331896.2503209603, 335594.5725830326 3331415.6431661425, 335341.64299753716 3330896.9861897714, 334766.42922725517 3330858.930515681, 334444.14553050906 3331339.5451228726, 334697.087250613 3331858.207952253)))"
280,280,2128209,883e628099fffff,41434,21754,19680,4443,38.1,"MULTIPOLYGON (((334558.4158637105 3333856.7517154547, 335133.6290074957 3333894.76523446, 335455.8966864428 3333414.1477417666, 335202.9628352978 3332895.5092586013, 334627.7491327529 3332857.4813206745, 334305.4698323111 3333338.106284364, 334558.4158637105 3333856.7517154547)))"
281,281,915065,883e62809bfffff,67107,35219,31887,5408,16.4,"MULTIPOLYGON (((335455.8966864428 3333414.1477417666, 336031.0877607741 3333452.166411568, 336353.3455563636 3332971.5621083328, 336100.4238608718 3332452.930568154, 335525.2322384884 3332414.8974970407, 335202.9628352978 3332895.5092586013, 335455.8966864428 3333414.1477417666)))"
282,282,555622,883e62809dfffff,14629,7616,7013,4387,9.9,"MULTIPOLYGON (((333730.23501649516 3333300.084592112, 334305.4698323111 3333338.106284364, 334627.7491327529 3332857.4813206745, 334374.8052536205 3332338.8271899563, 333799.5699083277 3332300.792172149, 333477.2779835135 3332781.423516383, 333730.23501649516 3333300.084592112)))"
283,283,2852452,883e6280a1fffff,40897,20835,20061,13231,51.0,"MULTIPOLYGON (((330417.18376070325 3331073.1741564665, 330992.50828635384 3331111.2297460106, 331314.83527878975 3330630.575958562, 331061.85043581505 3330111.859078528, 330486.5254139254 3330073.788995078, 330164.1857234413 3330554.4502851465, 330417.18376070325 3331073.1741564665)))"
284,284,1545176,883e6280a3fffff,58647,29779,28867,14671,27.6,"MULTIPOLYGON (((331314.83527878975 3330630.575958562, 331890.13763181237 3330668.637812529, 332212.4556182921 3330187.996154912, 331959.48298125516 3329669.286276068, 331384.18014265166 3329631.209945767, 331061.85043581505 3330111.859078528, 331314.83527878975 3330630.575958562)))"
285,285,1472333,883e6280a5fffff,26706,13707,12999,4729,26.3,"MULTIPOLYGON (((329588.8394688233 3330516.3864523466, 330164.1857234413 3330554.4502851465, 330486.5254139254 3330073.788995078, 330233.5305988537 3329555.0563806044, 329658.1828966694 3329516.978053763, 329335.83144936117 3329997.6468349965, 329588.8394688233 3330516.3864523466)))"
286,286,3124093,883e6280a7fffff,45906,23412,22494,15413,55.9,"MULTIPOLYGON (((330486.5254139254 3330073.788995078, 331061.85043581505 3330111.859078528, 331384.18014265166 3329631.209945767, 331131.197543569 3329112.484344151, 330555.8720656119 3329074.400877718, 330233.5305988537 3329555.0563806044, 330486.5254139254 3330073.788995078)))"
287,287,2536473,883e6280a9fffff,28240,14515,13725,11866,45.4,"MULTIPOLYGON (((330347.8451882991 3332072.5563922264, 330923.17015819484 3332110.597470394, 331245.4953664872 3331629.9379034946, 330992.50828635384 3331111.2297460106, 330417.18376070325 3331073.1741564665, 330094.8458630903 3331553.841235331, 330347.8451882991 3332072.5563922264)))"
288,288,2044902,883e6280abfffff,50689,25873,24816,13438,36.6,"MULTIPOLYGON (((331245.4953664872 3331629.9379034946, 331820.79721081146 3331667.985278566, 332143.1124915031 3331187.338975522, 331890.13763181237 3330668.637812529, 331314.83527878975 3330630.575958562, 330992.50828635384 3331111.2297460106, 331245.4953664872 3331629.9379034946)))"
289,289,2099411,883e6280b1fffff,71616,36552,35064,10579,37.6,"MULTIPOLYGON (((333040.6984589072 3330744.7573197475, 333615.9569660376 3330782.8160798857, 333938.25328784797 3330302.194002407, 333685.30279533024 3329783.506813513, 333110.0447645659 3329745.433595041, 332787.73675888975 3330226.063131646, 333040.6984589072 3330744.7573197475)))"
290,290,1548773,883e6280b3fffff,66087,33942,32144,11087,27.7,"MULTIPOLYGON (((333938.25328784797 3330302.194002407, 334513.48967287084 3330340.2589886314, 334835.7760166379 3329859.6489958456, 334582.8376708318 3329340.9687865754, 334007.60178957024 3329302.8904680605, 333685.30279533024 3329783.506813513, 333938.25328784797 3330302.194002407)))"
291,291,769882,883e6280b5fffff,46480,23590,22889,5201,13.8,"MULTIPOLYGON (((332212.4556182921 3330187.996154912, 332787.73675888975 3330226.063131646, 333110.0447645659 3329745.433595041, 332857.0843088897 3329226.730712427, 332281.8036571661 3329188.649262287, 331959.48298125516 3329669.286276068, 332212.4556182921 3330187.996154912)))"
292,292,2890282,883e6280b7fffff,55948,28662,27285,8230,51.7,"MULTIPOLYGON (((333110.0447645659 3329745.433595041, 333685.30279533024 3329783.506813513, 334007.60178957024 3329302.8904680605, 333754.6534739509 3328784.1934683826, 333179.3949956895 3328746.1069171103, 332857.0843088897 3329226.730712427, 333110.0447645659 3329745.433595041)))"
293,293,906583,883e6280b9fffff,71564,36511,35053,10531,16.2,"MULTIPOLYGON (((332971.35799915786 3331744.076954275, 333546.6160124563 3331782.1223764764, 333868.90964542364 3331301.494565375, 333615.9569660376 3330782.8160798857, 333040.6984589072 3330744.7573197475, 332718.39313396206 3331225.391490915, 332971.35799915786 3331744.076954275)))"
294,294,2431665,883e6280bbfffff,89153,45462,43690,13150,43.5,"MULTIPOLYGON (((333868.90964542364 3331301.494565375, 334444.14553050906 3331339.5451228726, 334766.42922725517 3330858.930515681, 334513.48967287084 3330340.2589886314, 333938.25328784797 3330302.194002407, 333615.9569660376 3330782.8160798857, 333868.90964542364 3331301.494565375)))"
295,295,2070809,883e6280bdfffff,58484,29828,28655,7754,37.0,"MULTIPOLYGON (((332143.1124915031 3331187.338975522, 332718.39313396206 3331225.391490915, 333040.6984589072 3330744.7573197475, 332787.73675888975 3330226.063131646, 332212.4556182921 3330187.996154912, 331890.13763181237 3330668.637812529, 332143.1124915031 3331187.338975522)))"
296,296,1759532,883e6280c1fffff,55862,28811,27050,24283,31.5,"MULTIPOLYGON (((330968.17871610663 3335627.3473374774, 331543.47927465546 3335665.337864583, 331865.78546108515 3335184.6707175435, 331612.80179495347 3334666.005536095, 331037.5006350868 3334628.0005197385, 330715.1827714791 3335108.675188404, 330968.17871610663 3335627.3473374774)))"
297,297,520386,883e6280c3fffff,54808,28294,26514,24385,9.3,"MULTIPOLYGON (((331865.78546108515 3335184.6707175435, 332441.0639135477 3335222.667578461, 332763.360244833 3334742.012606971, 332510.3897960421 3334223.354373536, 331935.1107698779 3334185.3441492873, 331612.80179495347 3334666.005536095, 331865.78546108515 3335184.6707175435)))"
298,298,1441385,883e6280c5fffff,46972,24241,22730,25336,25.8,"MULTIPOLYGON (((330139.85946449754 3335070.6753986026, 330715.1827714791 3335108.675188404, 331037.5006350868 3334628.0005197385, 330784.50690073456 3334109.319644192, 330209.18398550746 3334071.3064436163, 329886.85345872014 3334551.9886521394, 330139.85946449754 3335070.6753986026)))"
299,299,837692,883e6280c7fffff,56480,29124,27356,25008,15.0,"MULTIPOLYGON (((331037.5006350868 3334628.0005197385, 331612.80179495347 3334666.005536095, 331935.1107698779 3334185.3441492873, 331682.1292825689 3333666.6691397075, 331106.82756153645 3333628.650745018, 330784.50690073456 3334109.319644192, 331037.5006350868 3334628.0005197385)))"
300,300,436183,883e6280c9fffff,45074,23360,21714,11682,7.8,"MULTIPOLYGON (((330898.860816882 3336626.6889969613, 331474.1607510451 3336664.665032201, 331796.4641495541 3336183.993231676, 331543.47927465546 3335665.337864583, 330968.17871610663 3335627.3473374774, 330645.86266864656 3336108.0255753477, 330898.860816882 3336626.6889969613)))"
301,301,188070,883e6280cbfffff,52629,27178,25451,20508,3.4,"MULTIPOLYGON (((331796.4641495541 3336183.993231676, 332371.74295159185 3336221.9756035935, 332694.0365369498 3335741.317097864, 332441.0639135477 3335222.667578461, 331865.78546108515 3335184.6707175435, 331543.47927465546 3335665.337864583, 331796.4641495541 3336183.993231676)))"
302,302,365323,883e6280cdfffff,43700,22615,21084,15781,6.5,"MULTIPOLYGON (((330070.53999072395 3336070.041400781, 330645.86266864656 3336108.0255753477, 330968.17871610663 3335627.3473374774, 330715.1827714791 3335108.675188404, 330139.85946449754 3335070.6753986026, 329817.53174296 3335551.362279146, 330070.53999072395 3336070.041400781)))"
303,303,1616213,883e6280d1fffff,40042,20942,19099,18758,28.9,"MULTIPOLYGON (((333591.57793056295 3335298.657228321, 334166.81256478233 3335336.65113879, 334489.08741975634 3334856.016920513, 334236.13925952103 3334337.381298373, 333660.90403282666 3334299.372948815, 333338.6175510393 3334780.0146600176, 333591.57793056295 3335298.657228321)))"
304,304,1428736,883e6280d3fffff,18816,9838,8977,4767,25.6,"MULTIPOLYGON (((334489.08741975634 3334856.016920513, 335064.2999817199 3334894.0160180354, 335386.56497307203 3334413.393915372, 335133.6290074957 3333894.76523446, 334558.4158637105 3333856.7517154547, 334236.13925952103 3334337.381298373, 334489.08741975634 3334856.016920513)))"
305,305,1430989,883e6280d5fffff,40760,21318,19441,19152,25.6,"MULTIPOLYGON (((332763.360244833 3334742.012606971, 333338.6175510393 3334780.0146600176, 333660.90403282666 3334299.372948815, 333407.9458133861 3333780.7216731966, 332832.6879271566 3333742.705166062, 332510.3897960421 3334223.354373536, 332763.360244833 3334742.012606971)))"
306,306,30047,883e6280d7fffff,19225,10040,9185,7365,0.5,"MULTIPOLYGON (((333660.90403282666 3334299.372948815, 334236.13925952103 3334337.381298373, 334558.4158637105 3333856.7517154547, 334305.4698323111 3333338.106284364, 333730.23501649516 3333300.084592112, 333407.9458133861 3333780.7216731966, 333660.90403282666 3334299.372948815)))"
307,307,1697004,883e6280d9fffff,40763,21320,19442,19153,30.4,"MULTIPOLYGON (((333522.255772847 3336297.9385542087, 334097.4907546827 3336335.9180084243, 334419.7628638606 3335855.27805934, 334166.81256478233 3335336.65113879, 333591.57793056295 3335298.657228321, 333269.2932399551 3335779.3046942097, 333522.255772847 3336297.9385542087)))"
308,308,104378,883e6280dbfffff,29250,15290,13959,12852,1.9,"MULTIPOLYGON (((334419.7628638606 3335855.27805934, 334994.97483753285 3335893.2638411196, 335317.2380715936 3335412.636004073, 335064.2999817199 3334894.0160180354, 334489.08741975634 3334856.016920513, 334166.81256478233 3335336.65113879, 334419.7628638606 3335855.27805934)))"
309,309,1424989,883e6280ddfffff,42989,22425,20563,19982,25.5,"MULTIPOLYGON (((332694.0365369498 3335741.317097864, 333269.2932399551 3335779.3046942097, 333591.57793056295 3335298.657228321, 333338.6175510393 3334780.0146600176, 332763.360244833 3334742.012606971, 332441.0639135477 3335222.667578461, 332694.0365369498 3335741.317097864)))"
310,310,1175,883e6280e1fffff,4745,2466,2278,728,0.0,"MULTIPOLYGON (((329380.83454871754 3333514.5884726276, 329956.1801941674 3333552.6098565613, 330278.5125634065 3333071.9334417065, 330025.5109932178 3332553.227015055, 329450.1647945862 3332515.1911144233, 329127.82069435576 3332995.8750483063, 329380.83454871754 3333514.5884726276)))"
311,311,795,883e6280e7fffff,5645,2929,2715,552,0.0,"MULTIPOLYGON (((329450.1647945862 3332515.1911144233, 330025.5109932178 3332553.227015055, 330347.8451882991 3332072.5563922264, 330094.8458630903 3331553.841235331, 329519.5000981642 3331515.7908056844, 329197.153216947 3331996.4700615, 329450.1647945862 3332515.1911144233)))"
312,312,1707229,883e6280ebfffff,21897,11351,10545,24370,30.5,"MULTIPOLYGON (((330209.18398550746 3334071.3064436163, 330784.50690073456 3334109.319644192, 331106.82756153645 3333628.650745018, 330853.8360442197 3333109.961143969, 330278.5125634065 3333071.9334417065, 329956.1801941674 3333552.6098565613, 330209.18398550746 3334071.3064436163)))"
313,313,37968,883e628109fffff,4931,2574,2357,422,0.7,"MULTIPOLYGON (((319850.8400925497 3333386.909324418, 320426.42881804565 3333424.939119318, 320748.8787391949 3332944.1510745664, 320495.75185473077 3332425.325622676, 319920.1625932433 3332387.2822387326, 319597.7007444345 3332868.0778952567, 319850.8400925497 3333386.909324418)))"
314,314,312,883e62811bfffff,5377,2771,2605,137,0.0,"MULTIPOLYGON (((323373.4756901078 3332615.532142891, 323948.976394015 3332653.570690605, 324271.38564804994 3332172.8273154898, 324018.3060535162 3331654.037821751, 323442.80483247974 3331615.9857528536, 323120.3836975131 3332096.7355900286, 323373.4756901078 3332615.532142891)))"
315,315,96,883e628121fffff,2681,1414,1266,40,0.0,"MULTIPOLYGON (((318331.967124908 3330273.7938166345, 318907.6008361701 3330311.8685229947, 319230.0796394397 3329831.075972008, 318976.93767760124 3329312.2010985087, 318401.3034836869 3329274.111669803, 318078.8126903578 3329754.9118205984, 318331.967124908 3330273.7938166345)))"
316,316,192,883e628123fffff,3399,1740,1659,21,0.0,"MULTIPOLYGON (((319230.0796394397 3329831.075972008, 319805.6908988207 3329869.15597226, 320128.1606942948 3329388.376912618, 319875.03019847267 3328869.5080640703, 319299.41846706904 3328831.4133591214, 318976.93767760124 3329312.2010985087, 319230.0796394397 3329831.075972008)))"
317,317,94,883e628125fffff,2617,1385,1232,45,0.0,"MULTIPOLYGON (((317503.1570026928 3329716.828779304, 318078.8126903578 3329754.9118205984, 318401.3034836869 3329274.111669803, 318148.1515764386 3328755.2219665633, 317572.49541876104 3328717.124187892, 317249.9925944339 3329197.930833424, 317503.1570026928 3329716.828779304)))"
318,318,3988,883e628133fffff,6316,3280,3036,1324,0.1,"MULTIPOLYGON (((321854.8857688676 3329502.632951407, 322430.4312537811 3329540.716252442, 322752.869092757 3329059.9683695575, 322499.77432846616 3328541.1296111327, 321924.2283800877 3328503.031655651, 321601.77765165106 3328983.787112623, 321854.8857688676 3329502.632951407)))"
319,319,1860,883e628137fffff,5240,2719,2521,757,0.0,"MULTIPOLYGON (((321026.2102736793 3328945.695487892, 321601.77765165106 3328983.787112623, 321924.2283800877 3328503.031655651, 321671.1227247529 3327984.1781356, 321095.55489594635 3327946.0718413987, 320773.0922014326 3328426.8337518815, 321026.2102736793 3328945.695487892)))"
320,320,77750,883e628143fffff,6187,3212,2975,4414,1.4,"MULTIPOLYGON (((319781.522065624 3334386.5324101527, 320357.1102320138 3334424.5486134104, 320679.5571707796 3333943.7557866154, 320426.42881804565 3333424.939119318, 319850.8400925497 3333386.909324418, 319528.3812346549 3333867.7097722283, 319781.522065624 3334386.5324101527)))"
321,321,3493,883e628147fffff,5158,2689,2468,710,0.1,"MULTIPOLYGON (((318952.7701130181 3333829.6853231904, 319528.3812346549 3333867.7097722283, 319850.8400925497 3333386.909324418, 319597.7007444345 3332868.0778952567, 319022.09002171195 3332830.038715337, 318699.61922214366 3333310.8467875263, 318952.7701130181 3333829.6853231904)))"
322,322,6346,883e62814bfffff,6198,3218,2980,2336,0.1,"MULTIPOLYGON (((319712.208522405 3335386.1514965734, 320287.79608844453 3335424.1529971915, 320610.24099186994 3334943.3553710235, 320357.1102320138 3334424.5486134104, 319781.522065624 3334386.5324101527, 319459.0652516266 3334867.3376666824, 319712.208522405 3335386.1514965734)))"
323,323,1761,883e628151fffff,3624,1935,1688,690,0.0,"MULTIPOLYGON (((321508.24220211874 3334500.5770092476, 322083.7870035836 3334538.590293151, 322406.21215562016 3334057.8163690697, 322153.10634375294 3333539.023741157, 321577.5619265749 3333500.99577423, 321255.1239105449 3333981.776210568, 321508.24220211874 3334500.5770092476)))"
324,324,144449,883e628155fffff,9892,5186,4705,2424,2.6,"MULTIPOLYGON (((320679.5571707796 3333943.7557866154, 321255.1239105449 3333981.776210568, 321577.5619265749 3333500.99577423, 321324.44508206315 3332982.186196637, 320748.8787391949 3332944.1510745664, 320426.42881804565 3333424.939119318, 320679.5571707796 3333943.7557866154)))"
325,325,29422,883e62815dfffff,6198,3217,2980,3173,0.5,"MULTIPOLYGON (((320610.24099186994 3334943.3553710235, 321185.8071598626 3334981.362218355, 321508.24220211874 3334500.5770092476, 321255.1239105449 3333981.776210568, 320679.5571707796 3333943.7557866154, 320357.1102320138 3334424.5486134104, 320610.24099186994 3334943.3553710235)))"
