Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
19,19,7689,883e604865fffff,1889,983,906,4727,0.1,"MULTIPOLYGON (((351734.75600668986 3348537.461901204, 352309.4947165751 3348575.2571898373, 352631.50345632795 3348094.7816239633, 352378.7855775778 3347576.504436799, 351804.04503182287 3347538.6961573986, 351482.02420795104 3348019.1791638643, 351734.75600668986 3348537.461901204)))"
20,20,21782,883e604867fffff,1889,983,906,8061,0.4,"MULTIPOLYGON (((352631.50345632795 3348094.7816239633, 353206.22063298256 3348132.5820921753, 353528.21983954014 3347652.1183728743, 353275.5139617193 3347133.8489737394, 352700.7959071616 3347096.034410962, 352378.7855775778 3347576.504436799, 352631.50345632795 3348094.7816239633)))"
21,21,4866,883e604869fffff,1660,864,796,2341,0.1,"MULTIPOLYGON (((352492.93115647975 3350092.262468204, 353067.6474551204 3350130.0336183086, 353389.6416036594 3349649.5621867743, 353136.9324307242 3349131.3099287655, 352562.2152079033 3349093.524678941, 352240.20900657924 3349574.0035568257, 352492.93115647975 3350092.262468204)))"
22,22,83562,883e60486bfffff,1889,983,906,3718,1.5,"MULTIPOLYGON (((353389.6416036594 3349649.5621867743, 353964.3354567867 3349687.3396540945, 354286.3210582 3349206.8789460897, 354033.6238903662 3348688.634457856, 353458.9291238733 3348650.8429083247, 353136.9324307242 3349131.3099287655, 353389.6416036594 3349649.5621867743)))"
23,23,5240,883e60486dfffff,1320,687,633,1864,0.1,"MULTIPOLYGON (((351665.4702613633 3349536.2235042127, 352240.20900657924 3349574.0035568257, 352562.2152079033 3349093.524678941, 352309.4947165751 3348575.2571898373, 351734.75600668986 3348537.461901204, 351412.73678288853 3349017.9493503193, 351665.4702613633 3349536.2235042127)))"
24,24,402,883e604901fffff,996,518,478,98,0.0,"MULTIPOLYGON (((349390.7671192286 3344871.452976907, 349965.57579867775 3344909.300074083, 350287.62502196064 3344428.8121888647, 350034.8777122626 3343910.4686652096, 349460.0691746945 3343872.6062946734, 349138.00779712165 3344353.1027207035, 349390.7671192286 3344871.452976907)))"
25,25,574,883e604903fffff,1889,983,906,186,0.0,"MULTIPOLYGON (((350287.62502196064 3344428.8121888647, 350862.4111275176 3344466.6655556117, 351184.450725819 3343986.18953341, 350931.71540389216 3343467.8527374016, 350356.9294662747 3343429.985223268, 350034.8777122626 3343910.4686652096, 350287.62502196064 3344428.8121888647)))"
26,26,650,883e604907fffff,1184,616,567,121,0.0,"MULTIPOLYGON (((349460.0691746945 3343872.6062946734, 350034.8777122626 3343910.4686652096, 350356.9294662747 3343429.985223268, 350104.18389065703 3342911.6320003252, 349529.3745860252 3342873.756588878, 349207.3116163121 3343354.247440815, 349460.0691746945 3343872.6062946734)))"
27,27,854,883e60490bfffff,1889,983,906,229,0.0,"MULTIPOLYGON (((350218.32485085155 3345427.6350058042, 350793.11013865576 3345465.474235691, 351115.1471999005 3344984.9926711363, 350862.4111275176 3344466.6655556117, 350287.62502196064 3344428.8121888647, 349965.57579867775 3344909.300074083, 350218.32485085155 3345427.6350058042)))"
28,28,24673,883e604911fffff,1889,983,906,2563,0.4,"MULTIPOLYGON (((352011.93836537044 3344542.3695502263, 352586.67951384827 3344580.2201764123, 352908.6973714706 3344099.764505408, 352655.986177274 3343581.4496959927, 352081.24423259345 3343543.58496803, 351759.21427056857 3344024.0491508385, 352011.93836537044 3344542.3695502263)))"
29,29,7728,883e604913fffff,1889,983,906,2554,0.1,"MULTIPOLYGON (((352908.6973714706 3344099.764505408, 353483.41695873486 3344137.6213492835, 353805.4251825351 3343657.17748133, 353552.7259168307 3343138.869378306, 352978.0065066749 3343100.9984372957, 352655.986177274 3343581.4496959927, 352908.6973714706 3344099.764505408)))"
30,30,101926,883e604915fffff,1889,983,906,723,1.8,"MULTIPOLYGON (((351184.450725819 3343986.18953341, 351759.21427056857 3344024.0491508385, 352081.24423259345 3343543.58496803, 351828.521836419 3343025.2548817433, 351253.7575078203 3342987.3811476, 350931.71540389216 3343467.8527374016, 351184.450725819 3343986.18953341)))"
31,31,3776,883e604917fffff,1889,983,906,1262,0.1,"MULTIPOLYGON (((352081.24423259345 3343543.58496803, 352655.986177274 3343581.4496959927, 352978.0065066749 3343100.9984372957, 352725.2960490887 3342582.675068904, 352150.55429396406 3342544.7962288014, 351828.521836419 3343025.2548817433, 352081.24423259345 3343543.58496803)))"
32,32,19052,883e604919fffff,1889,983,906,4225,0.3,"MULTIPOLYGON (((351942.6367018418 3345541.1499760314, 352517.3779933974 3345578.9864849006, 352839.3933480714 3345098.5252916976, 352586.67951384827 3344580.2201764123, 352011.93836537044 3344542.3695502263, 351689.9109001944 3345022.8381561907, 351942.6367018418 3345541.1499760314)))"
33,33,11055,883e60491bfffff,1889,983,906,3842,0.2,"MULTIPOLYGON (((352839.3933480714 3345098.5252916976, 353414.11212679 3345136.368048783, 353736.1178876312 3344655.9197777943, 353483.41695873486 3344137.6213492835, 352908.6973714706 3344099.764505408, 352586.67951384827 3344580.2201764123, 352839.3933480714 3345098.5252916976)))"
34,34,83712,883e60491dfffff,1889,983,906,1063,1.5,"MULTIPOLYGON (((351115.1471999005 3344984.9926711363, 351689.9109001944 3345022.8381561907, 352011.93836537044 3344542.3695502263, 351759.21427056857 3344024.0491508385, 351184.450725819 3343986.18953341, 350862.4111275176 3344466.6655556117, 351115.1471999005 3344984.9926711363)))"
