Terminal_ID,Terminal_Name,Routes_As_Origin,Avg_Route_Len_Origin,Routes_As_Dest,Avg_Route_Len_Dest,Total_Routes,Boarding_Near_Terminal,Stops_Near_Terminal,Underused,Zone,Underuse_Severity,Status
165,Asmarrat,6.0,24.4535856453702,6.0,25.460971710698416,12.0,728.0,1,False,Efficient Hub,0.0,Has nearby boarding
166,Masaken Al Shorouq,6.0,24.363751313708516,6.0,23.52523221472595,12.0,1844.0,1,False,Efficient Hub,0.0,Has nearby boarding
167,Arab Al Tawaila,7.0,11.244257778642634,6.0,11.982762761713502,13.0,8642.0,1,False,Efficient Hub,0.0,Has nearby boarding
168,Al Banhawi,3.0,19.99654135705719,3.0,20.653155832272592,6.0,10975.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
169,Sharabeya,1.0,3.59980218580989,1.0,3.68893924868513,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
170,Awwel Makram Ebeid,13.0,15.880525230331623,16.0,19.10297806096182,29.0,17982.579686078072,1,False,Efficient Hub,0.0,Has nearby boarding
171,Masaken Betcho,4.0,23.349797689915423,4.0,24.558482965949757,8.0,0.0,0,True,Dead Weight,8.0,"Underused (routes, no boarding)"
172,Hadayeq Helwan,1.0,8.0976837498972,1.0,6.77207130978918,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
173,Ahmed Maher Hospital,2.0,10.250929395726619,3.0,7.09912158948957,5.0,10275.262839271729,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
174,Badrasheen,6.0,13.48188531874502,7.0,13.773428447635236,13.0,0.0,0,True,Dead Weight,13.0,"Underused (routes, no boarding)"
175,Saqqara,1.0,4.49037570811203,1.0,4.43708785955273,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
176,26th of July & Ring Rd,0.0,0.0,1.0,18.9477857062441,1.0,1578.0,2,False,Overcrowded / Underserved,0.0,Has nearby boarding
177,Madinat Al Talaba (Imbaba),3.0,17.84363552647258,3.0,17.882283490067213,6.0,3963.134190786282,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
178,Haram Talbeya,1.0,2.27974975773557,1.0,3.29503026323094,2.0,9525.0,2,False,Overcrowded / Underserved,0.0,Has nearby boarding
179,Haram Areesh (Sahl Hamza),1.0,13.3792847185543,3.0,9.442277395694983,4.0,4008.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
180,Basrawy,2.0,6.288772601135189,2.0,6.0876196732433705,4.0,21740.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
182,Om Bayoumi (Mintay),7.0,13.654597382281619,7.0,13.038677192102467,14.0,0.0,0,True,Dead Weight,14.0,"Underused (routes, no boarding)"
183,Al Shaboory Canal,0.0,0.0,0.0,0.0,0.0,4568.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
184,Al Shari' Al Gadeed  (Bahteem),1.0,4.17902719312097,2.0,7.800381263589845,3.0,8411.0,2,False,Overcrowded / Underserved,0.0,Has nearby boarding
185,Khosous,5.0,21.698400134720522,5.0,22.19905327776878,10.0,0.0,0,True,Dead Weight,10.0,"Underused (routes, no boarding)"
186,Al Bassous Steps (Ring Rd),0.0,0.0,0.0,0.0,0.0,313.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
187,Bahtim Square,1.0,5.2516332160138,1.0,5.75382616137313,2.0,1601.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
188,Qawmeya Arabeya,3.0,14.630066627335687,4.0,12.236438639612377,7.0,0.0,0,True,Dead Weight,7.0,"Underused (routes, no boarding)"
189,Mazallat,25.0,17.292074475088185,24.0,18.682049653754827,49.0,7633.0,1,False,Efficient Hub,0.0,Has nearby boarding
190,Rabaah Al Adaweya Mosque,2.0,16.59433426407375,4.0,19.280475169699848,6.0,4134.228039147461,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
191,Awwel Abbas,3.0,13.122673139533367,2.0,14.002547280245205,5.0,26489.33620304491,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
192,Salam Alexandria,5.0,21.98816923348083,3.0,21.721586929565103,8.0,0.0,0,True,Dead Weight,8.0,"Underused (routes, no boarding)"
194,Jazirat Mohamed,1.0,15.8005770987127,1.0,17.7901767232536,2.0,278.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
195,Awsim,1.0,14.5655550377584,1.0,17.1111087301593,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
196,Athar Al Naby,4.0,25.14173605610475,3.0,21.769440255509636,7.0,0.0,0,True,Dead Weight,7.0,"Underused (routes, no boarding)"
197,Tibeen,5.0,10.617855066339992,5.0,10.760514553776733,10.0,0.0,0,True,Dead Weight,10.0,"Underused (routes, no boarding)"
198,Saft Al Laban,3.0,14.785289618455579,3.0,15.19465246727461,6.0,1333.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
199,Mazlaqan Al Deweqa,3.0,17.55657773510167,3.0,15.778678044929975,6.0,4125.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
200,Abu Al Houl St,1.0,24.0458257299894,1.0,26.1907851145343,2.0,1250.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
201,Al Sawah Square,3.0,13.513685218824415,1.0,3.75702283194471,4.0,3225.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
202,Hawamdeyya,4.0,14.408474544979367,4.0,14.253034707625773,8.0,0.0,0,True,Dead Weight,8.0,"Underused (routes, no boarding)"
203,Qism El Hadayek,10.0,17.111621404510895,10.0,22.549663251361647,20.0,10924.0,1,False,Efficient Hub,0.0,Has nearby boarding
204,Obour Market,4.0,26.65156085553772,3.0,26.270457698180422,7.0,0.0,0,True,Dead Weight,7.0,"Underused (routes, no boarding)"
